sample_name	resistance_type	rpm_sum	n_gene_families	SubjectID	Location	SampleType	SampleCollectionWeek
N01_1_2	intrinsic	6.506456	2	N01	UCMC	Axilla	Week.1
N01_1_2	acquired	1736.897956	41	N01	UCMC	Axilla	Week.1
N01_1_2	unknown	175.527591	9	N01	UCMC	Axilla	Week.1
N01_1_3	intrinsic	7.28012	1	N01	UCMC	Groin	Week.1
N01_1_3	acquired	1868.735529	34	N01	UCMC	Groin	Week.1
N01_1_3	unknown	225.152171	8	N01	UCMC	Groin	Week.1
N01_1_4	intrinsic	419.47323	13	N01	UCMC	Stool	Week.1
N01_1_4	acquired	6844.016722	68	N01	UCMC	Stool	Week.1
N01_1_4	unknown	1690.31406	40	N01	UCMC	Stool	Week.1
N01_2_3	intrinsic	385.11767	15	N01	UCMC	Groin	Week.3
N01_2_3	acquired	3777.106617	89	N01	UCMC	Groin	Week.3
N01_2_3	unknown	1101.816439	50	N01	UCMC	Groin	Week.3
N01_2_4	intrinsic	972.604614	19	N01	UCMC	Stool	Week.3
N01_2_4	acquired	5163.90606	77	N01	UCMC	Stool	Week.3
N01_2_4	unknown	1805.693937	48	N01	UCMC	Stool	Week.3
N01_2_2	intrinsic	110.3255	2	N01	UCMC	Axilla	Week.3
N01_2_2	acquired	7861.006097	49	N01	UCMC	Axilla	Week.3
N01_2_2	unknown	1820.462112	10	N01	UCMC	Axilla	Week.3
N02_1_3	intrinsic	0.0	0	N02	UCMC	Groin	Week.1
N02_1_3	acquired	0.0	0	N02	UCMC	Groin	Week.1
N02_1_3	unknown	2.739972	2	N02	UCMC	Groin	Week.1
N02_1_4	intrinsic	27.36103	2	N02	UCMC	Stool	Week.1
N02_1_4	acquired	3425.8552059999997	41	N02	UCMC	Stool	Week.1
N02_1_4	unknown	145.845002	10	N02	UCMC	Stool	Week.1
N02_2_2	intrinsic	11.60005	2	N02	UCMC	Axilla	Week.3
N02_2_2	acquired	2048.579485	57	N02	UCMC	Axilla	Week.3
N02_2_2	unknown	286.947423	16	N02	UCMC	Axilla	Week.3
N02_1_2	intrinsic	2.88626	1	N02	UCMC	Axilla	Week.1
N02_1_2	acquired	2264.57846	54	N02	UCMC	Axilla	Week.1
N02_1_2	unknown	388.24316899999997	8	N02	UCMC	Axilla	Week.1
N02_2_4	intrinsic	852.81509	17	N02	UCMC	Stool	Week.3
N02_2_4	acquired	4515.707625	78	N02	UCMC	Stool	Week.3
N02_2_4	unknown	1171.002555	39	N02	UCMC	Stool	Week.3
N02_2_3	intrinsic	155.330317	15	N02	UCMC	Groin	Week.3
N02_2_3	acquired	743.417301	67	N02	UCMC	Groin	Week.3
N02_2_3	unknown	240.202553	33	N02	UCMC	Groin	Week.3
N03_1_4	intrinsic	11.5453	1	N03	UCMC	Stool	Week.1
N03_1_4	acquired	3848.568808	66	N03	UCMC	Stool	Week.1
N03_1_4	unknown	210.726323	10	N03	UCMC	Stool	Week.1
N03_2_2	intrinsic	0.0	0	N03	UCMC	Axilla	Week.3
N03_2_2	acquired	2512.71255	45	N03	UCMC	Axilla	Week.3
N03_2_2	unknown	28.73855	5	N03	UCMC	Axilla	Week.3
N03_2_4	intrinsic	67.971185	12	N03	UCMC	Stool	Week.3
N03_2_4	acquired	3431.523455	77	N03	UCMC	Stool	Week.3
N03_2_4	unknown	172.760059	31	N03	UCMC	Stool	Week.3
N03_2_3	intrinsic	1.99725	1	N03	UCMC	Groin	Week.3
N03_2_3	acquired	419.160672	36	N03	UCMC	Groin	Week.3
N03_2_3	unknown	24.79916	3	N03	UCMC	Groin	Week.3
N04_1_2	intrinsic	11.0131	2	N04	UCMC	Axilla	Week.1
N04_1_2	acquired	704.417801	39	N04	UCMC	Axilla	Week.1
N04_1_2	unknown	44.660342	6	N04	UCMC	Axilla	Week.1
N04_1_3	intrinsic	3.03787	1	N04	UCMC	Groin	Week.1
N04_1_3	acquired	1176.62359	48	N04	UCMC	Groin	Week.1
N04_1_3	unknown	150.650918	10	N04	UCMC	Groin	Week.1
N04_2_2	intrinsic	4.35848	2	N04	UCMC	Axilla	Week.3
N04_2_2	acquired	682.146273	33	N04	UCMC	Axilla	Week.3
N04_2_2	unknown	9.945540000000001	3	N04	UCMC	Axilla	Week.3
N04_2_3	intrinsic	24.05711	2	N04	UCMC	Groin	Week.3
N04_2_3	acquired	851.130948	45	N04	UCMC	Groin	Week.3
N04_2_3	unknown	48.068292	13	N04	UCMC	Groin	Week.3
N04_2_4	intrinsic	11.68614	2	N04	UCMC	Stool	Week.3
N04_2_4	acquired	3602.354007	38	N04	UCMC	Stool	Week.3
N04_2_4	unknown	24.935548999999998	13	N04	UCMC	Stool	Week.3
N04_1_4	intrinsic	12.872	2	N04	UCMC	Stool	Week.1
N04_1_4	acquired	3717.278915	42	N04	UCMC	Stool	Week.1
N04_1_4	unknown	33.6575194	15	N04	UCMC	Stool	Week.1
N05_1_2	intrinsic	1.97823	1	N05	UCMC	Axilla	Week.1
N05_1_2	acquired	1682.999675	26	N05	UCMC	Axilla	Week.1
N05_1_2	unknown	13.62782	3	N05	UCMC	Axilla	Week.1
N05_1_4	intrinsic	9.37658	2	N05	UCMC	Stool	Week.1
