Location	SampleType	SampleCollectionWeek	resistance_type	n_samples	median_rpm	q25_rpm	q75_rpm	mean_rpm	median_gene_families	prevalence_any_detected
UCMC	Axilla	Week.1	intrinsic	63	14.6595	3.023815	40.3652	25.335002365079365	1.0	85.71428571428571
UCMC	Axilla	Week.1	acquired	63	2121.902552	749.875265	4180.070401000001	3112.2662871904763	42.0	96.82539682539682
UCMC	Axilla	Week.1	unknown	63	179.313579	50.881532	443.29990449999997	385.3140412111111	8.0	95.23809523809523
UCMC	Axilla	Week.3	intrinsic	58	9.15152	2.4146425000000002	40.551791	32.90879506896552	2.0	93.10344827586206
UCMC	Axilla	Week.3	acquired	58	2712.8737844999996	1333.244861675	4471.708014	3285.880723425862	47.5	100.0
UCMC	Axilla	Week.3	unknown	58	108.1943369	28.7438175	275.68106745	244.09589821551725	10.0	100.0
UCMC	Groin	Week.1	intrinsic	63	5.68887	0.358684	65.7460765	127.76067590476191	1.0	74.60317460317461
UCMC	Groin	Week.1	acquired	63	701.573348	110.56655219999999	2274.145162	1387.5571221444443	39.0	92.06349206349206
UCMC	Groin	Week.1	unknown	63	65.317756	17.3744975	305.2129033	375.01911773015877	8.0	92.06349206349206
UCMC	Groin	Week.3	intrinsic	61	261.65943	35.529363000000004	697.58807	447.1349382967213	13.0	91.80327868852459
UCMC	Groin	Week.3	acquired	61	2361.259169	743.417301	5006.17709	2902.7355462098362	60.0	93.44262295081968
UCMC	Groin	Week.3	unknown	61	465.61163700000003	119.668193	1299.908363	901.0379845229508	39.0	93.44262295081968
UCMC	Stool	Week.1	intrinsic	61	182.09546	15.3605	887.04508	445.0248481967213	4.0	90.1639344262295
UCMC	Stool	Week.1	acquired	61	4506.47741	3215.53201	6050.89497	4622.63657344754	48.0	95.08196721311475
UCMC	Stool	Week.1	unknown	61	715.64876	167.69937	1595.04485	1141.1672116688524	23.0	95.08196721311475
UCMC	Stool	Week.3	intrinsic	53	813.98209	415.94819	1118.8066	810.7142958113208	13.0	98.11320754716981
UCMC	Stool	Week.3	acquired	53	4515.707625	3214.138402	5374.658604	4254.405581886792	58.0	100.0
UCMC	Stool	Week.3	unknown	53	1339.32265	735.63201	2404.221123	1605.0458515	39.0	100.0
ZCH	Axilla	Week.1	intrinsic	51	0.0	0.0	2.408105	19.68229754901961	0.0	39.21568627450981
ZCH	Axilla	Week.1	acquired	51	816.02563	96.2688515	3128.034676	3090.2548506862745	26.0	98.0392156862745
ZCH	Axilla	Week.1	unknown	51	22.465642	0.0	54.56429249999999	73.18675403921569	4.0	70.58823529411765
ZCH	Axilla	Week.3	intrinsic	45	7.04631	0.0	38.236	55.047547888888886	1.0	66.66666666666666
ZCH	Axilla	Week.3	acquired	45	2754.395907	1081.47264	5232.074601	4225.682860644444	37.0	100.0
ZCH	Axilla	Week.3	unknown	45	38.957249000000004	9.27324	143.837784	115.7270726	6.0	86.66666666666667
ZCH	Groin	Week.1	intrinsic	44	0.0	0.0	0.216067	140.1509087272727	0.0	25.0
ZCH	Groin	Week.1	acquired	44	1.626977	0.0	750.504716	2120.003493259091	1.0	54.54545454545454
ZCH	Groin	Week.1	unknown	44	0.0	0.0	16.5683845	140.5166096318182	0.0	45.45454545454545
ZCH	Groin	Week.3	intrinsic	39	46.0533	0.0	610.9199845	461.53792466666664	10.0	71.7948717948718
ZCH	Groin	Week.3	acquired	39	2084.719816	160.931755	8013.6711335	4598.2715993589745	47.0	94.87179487179486
ZCH	Groin	Week.3	unknown	39	107.89151	4.2906010000000006	706.642644	562.6232731435897	9.0	87.17948717948718
ZCH	Stool	Week.1	intrinsic	55	0.0	0.0	17.2655685	280.2564566909091	0.0	36.36363636363637
ZCH	Stool	Week.1	acquired	55	115.937764	0.0	3793.8628185	3488.8155064000002	17.0	67.27272727272727
ZCH	Stool	Week.1	unknown	55	0.828693	0.0	201.64253000000002	301.04527610545455	1.0	54.54545454545454
ZCH	Stool	Week.3	intrinsic	49	814.84355	16.492122000000002	1826.9093	953.6840873265305	13.0	89.79591836734694
ZCH	Stool	Week.3	acquired	49	8022.936521	3218.035725	13265.860823	8548.923724318367	57.0	93.87755102040816
ZCH	Stool	Week.3	unknown	49	799.8081099999999	197.101296	1584.15892	1050.6224835346939	21.0	91.83673469387756
