Variable,Coefficient,P-value,Significant
C(SampleType)[T.Stool],10.721767163489202,2.054707447361295e-111,True
C(SampleType)[T.Groin],4.957245774242649,3.7942413519133697e-22,True
C(SampleCollectionWeek)[T.Week.3],1.7303312830232218,2.301007717231742e-05,True
Intercept,-4.8274589651008135,0.0005350858776832254,True
C(Delivery)[T.Vaginal],-2.0037263178983813,0.004313831660003139,True
C(PICC)[T.PICC_Neck],-4.2674392735682805,0.009303688690758174,True
C(UVC)[T.UVC],-1.3532062803298863,0.07085291797998812,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.207687696324505,0.09283805442142674,False
C(AnyMilk)[T.Mother],1.2210679598179133,0.16151750879242688,False
C(PICC)[T.axillary],-1.910068535952457,0.17625390838999988,False
C(GestationCohort)[T.28-32 Weeks],-1.0346071250495794,0.25062813658450467,False
C(PICC)[T.PICC_UE],-0.756717115280024,0.2616926433698703,False
Group Var,0.03614108841741009,0.27196692693333124,False
C(PICC)[T.peripheral_UE],-1.1959493122056448,0.40165478390065523,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.4323808021322561,0.4700140329745395,False
C(PICC)[T.PICC_LE],-0.5570554259337017,0.48206666924902897,False
C(Location)[T.Hangzhou],0.48309400241768774,0.49717762418499745,False
C(AnyMilk)[T.No.Milk],0.40085888305370304,0.7369552603285621,False
C(GestationCohort)[T.33-36 Weeks],-0.33425946657742356,0.7673827394565544,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.06500723134299581,0.9321060163490762,False
