,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Microbe
Intercept,4.338,1.937,2.239,0.025,0.541,8.135,Klebsiella.pneumoniae
C(SampleType)[T.Groin],2.549,0.383,6.651,0.000,1.798,3.300,Klebsiella.pneumoniae
C(SampleType)[T.Stool],4.150,0.356,11.660,0.000,3.452,4.847,Klebsiella.pneumoniae
C(Location)[T.Hangzhou],0.551,0.618,0.892,0.373,-0.660,1.763,Klebsiella.pneumoniae
C(GestationCohort)[T.28-32 Weeks],-0.858,0.863,-0.994,0.320,-2.549,0.834,Klebsiella.pneumoniae
C(GestationCohort)[T.33-36 Weeks],0.034,1.123,0.030,0.976,-2.167,2.235,Klebsiella.pneumoniae
C(SampleCollectionWeek)[T.Week.3],3.158,0.308,10.241,0.000,2.553,3.762,Klebsiella.pneumoniae
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.659,0.582,-1.133,0.257,-1.800,0.481,Klebsiella.pneumoniae
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-2.287,0.673,-3.398,0.001,-3.606,-0.968,Klebsiella.pneumoniae
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.273,0.640,-1.991,0.047,-2.527,-0.020,Klebsiella.pneumoniae
C(BSI_30D)[T.BSI ],-1.815,2.476,-0.733,0.463,-6.668,3.038,Klebsiella.pneumoniae
C(BSI_30D)[T.BSI and No.BSI],2.799,2.304,1.215,0.224,-1.717,7.315,Klebsiella.pneumoniae
C(BSI_30D)[T.No.BSI],0.726,0.763,0.952,0.341,-0.770,2.222,Klebsiella.pneumoniae
C(BSI_30D)[T.No.BSI ],-3.487,2.738,-1.273,0.203,-8.854,1.880,Klebsiella.pneumoniae
C(BSI_30D)[T.No.BSI  ],1.146,3.099,0.370,0.712,-4.929,7.221,Klebsiella.pneumoniae
C(BSI_30D)[T.PICC],-1.009,1.842,-0.548,0.584,-4.620,2.602,Klebsiella.pneumoniae
C(NEC_30D)[T.No.NEC],-0.384,1.265,-0.304,0.761,-2.864,2.095,Klebsiella.pneumoniae
C(AnyMilk)[T.Mother],-0.586,0.842,-0.696,0.486,-2.237,1.064,Klebsiella.pneumoniae
C(AnyMilk)[T.No.Milk],-1.710,1.086,-1.574,0.116,-3.839,0.420,Klebsiella.pneumoniae
C(PICC)[T.PICC_LE],1.131,0.726,1.559,0.119,-0.291,2.554,Klebsiella.pneumoniae
C(PICC)[T.PICC_Neck],-0.765,1.752,-0.437,0.662,-4.199,2.668,Klebsiella.pneumoniae
C(PICC)[T.PICC_UE],1.743,0.655,2.659,0.008,0.459,3.028,Klebsiella.pneumoniae
C(PICC)[T.axillary],-0.022,1.450,-0.015,0.988,-2.863,2.820,Klebsiella.pneumoniae
C(PICC)[T.peripheral_UE],2.429,1.193,2.036,0.042,0.090,4.768,Klebsiella.pneumoniae
C(UVC)[T.UVC],-1.349,0.724,-1.862,0.063,-2.768,0.071,Klebsiella.pneumoniae
Group Var,3.395,0.329,,,,,Klebsiella.pneumoniae
Intercept,10.476,0.905,11.578,0.000,8.703,12.250,Staphylococcus.aureus
C(SampleType)[T.Groin],-1.164,0.188,-6.178,0.000,-1.533,-0.795,Staphylococcus.aureus
C(SampleType)[T.Stool],-1.481,0.175,-8.456,0.000,-1.825,-1.138,Staphylococcus.aureus
C(Location)[T.Hangzhou],-0.361,0.293,-1.234,0.217,-0.935,0.212,Staphylococcus.aureus
C(GestationCohort)[T.28-32 Weeks],0.546,0.405,1.347,0.178,-0.248,1.339,Staphylococcus.aureus
C(GestationCohort)[T.33-36 Weeks],-0.112,0.526,-0.212,0.832,-1.143,0.920,Staphylococcus.aureus
C(SampleCollectionWeek)[T.Week.3],-0.948,0.152,-6.257,0.000,-1.245,-0.651,Staphylococcus.aureus
C(MaternalAntibiotics)[T.None.Mat.Abx],0.340,0.270,1.260,0.208,-0.189,0.869,Staphylococcus.aureus
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.254,0.320,0.794,0.427,-0.373,0.881,Staphylococcus.aureus
C(PostNatalAbxCohort)[T.No.Infant.Abx],0.628,0.301,2.090,0.037,0.039,1.217,Staphylococcus.aureus
C(BSI_30D)[T.BSI ],0.528,1.173,0.450,0.653,-1.771,2.827,Staphylococcus.aureus
C(BSI_30D)[T.BSI and No.BSI],1.012,1.100,0.920,0.358,-1.143,3.167,Staphylococcus.aureus
C(BSI_30D)[T.No.BSI],0.334,0.362,0.923,0.356,-0.376,1.045,Staphylococcus.aureus
C(BSI_30D)[T.No.BSI ],1.897,1.294,1.466,0.143,-0.639,4.434,Staphylococcus.aureus
C(BSI_30D)[T.No.BSI  ],-0.881,1.479,-0.596,0.551,-3.780,2.018,Staphylococcus.aureus
C(BSI_30D)[T.PICC],0.238,0.876,0.272,0.785,-1.478,1.955,Staphylococcus.aureus
C(NEC_30D)[T.No.NEC],0.548,0.591,0.927,0.354,-0.611,1.708,Staphylococcus.aureus
C(AnyMilk)[T.Mother],-0.167,0.383,-0.436,0.663,-0.918,0.584,Staphylococcus.aureus
C(AnyMilk)[T.No.Milk],0.165,0.512,0.322,0.747,-0.839,1.169,Staphylococcus.aureus
C(PICC)[T.PICC_LE],0.180,0.328,0.548,0.584,-0.463,0.822,Staphylococcus.aureus
C(PICC)[T.PICC_Neck],-0.110,0.802,-0.138,0.890,-1.681,1.461,Staphylococcus.aureus
C(PICC)[T.PICC_UE],0.566,0.293,1.929,0.054,-0.009,1.140,Staphylococcus.aureus
C(PICC)[T.axillary],0.996,0.690,1.444,0.149,-0.356,2.349,Staphylococcus.aureus
C(PICC)[T.peripheral_UE],0.526,0.567,0.929,0.353,-0.584,1.637,Staphylococcus.aureus
C(UVC)[T.UVC],0.811,0.349,2.325,0.020,0.127,1.495,Staphylococcus.aureus
Group Var,0.549,0.115,,,,,Staphylococcus.aureus
Intercept,9.145,1.729,5.290,0.000,5.757,12.534,Escherichia.coli
C(SampleType)[T.Groin],2.080,0.351,5.923,0.000,1.392,2.768,Escherichia.coli
C(SampleType)[T.Stool],3.738,0.326,11.464,0.000,3.099,4.378,Escherichia.coli
C(Location)[T.Hangzhou],-1.268,0.558,-2.273,0.023,-2.362,-0.175,Escherichia.coli
C(GestationCohort)[T.28-32 Weeks],-1.561,0.773,-2.020,0.043,-3.077,-0.046,Escherichia.coli
C(GestationCohort)[T.33-36 Weeks],-0.651,0.997,-0.653,0.514,-2.606,1.304,Escherichia.coli
C(SampleCollectionWeek)[T.Week.3],2.363,0.282,8.370,0.000,1.810,2.917,Escherichia.coli
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.588,0.521,-1.129,0.259,-1.610,0.433,Escherichia.coli
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.942,0.605,-1.556,0.120,-2.128,0.245,Escherichia.coli
C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.513,0.574,-0.895,0.371,-1.638,0.611,Escherichia.coli
C(BSI_30D)[T.BSI ],-3.776,2.223,-1.698,0.089,-8.134,0.582,Escherichia.coli
C(BSI_30D)[T.BSI and No.BSI],2.340,2.103,1.113,0.266,-1.782,6.462,Escherichia.coli
