Variable,Coefficient,P-value,Significant
C(PICC)[T.PICC_UE],1.2907520037150566,0.0025637144494841044,True
C(GestationCohort)[T.33-36 Weeks],-1.8849977349639806,0.007874307779371382,True
C(Location)[T.Hangzhou],-1.1442803646307613,0.008081883068979737,True
C(SampleType)[T.Stool],0.7407968338524672,0.008727631833319519,True
Group Var,0.07675146980333823,0.022113352591077474,True
C(PostNatalAbxCohort)[T.No.Infant.Abx],0.979348867005956,0.029219002712913975,True
C(SampleCollectionWeek)[T.Week.3],0.5220492272199774,0.03092909977485845,True
Intercept,-1.307534898487732,0.1306747605437412,False
C(PICC)[T.peripheral_UE],1.0972677527812371,0.20996577239833913,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.4234356656699314,0.37189878308462443,False
C(PICC)[T.axillary],0.5977499232106439,0.4990438483763091,False
C(PICC)[T.PICC_LE],0.25027584342920867,0.6127674680332927,False
C(SampleType)[T.Groin],-0.1448442115493055,0.6327666345760603,False
C(UVC)[T.UVC],-0.21392984465879497,0.6502766181305197,False
C(AnyMilk)[T.Mother],0.1982092477521104,0.7203055488665968,False
C(PICC)[T.PICC_Neck],0.3311242031859569,0.7466255396693569,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.04333114558515519,0.907761956910637,False
C(Delivery)[T.Vaginal],0.033988410118154226,0.9376455824227994,False
C(AnyMilk)[T.No.Milk],-0.019255406840636324,0.978698752421162,False
C(GestationCohort)[T.28-32 Weeks],0.014455565289788806,0.979830801535351,False
