Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],6.620109407197533,1.2341013690507099,5.364315746841627,8.125665642378686e-08,4.201315170586568,9.038903643808498,True
C(SampleCollectionWeek)[T.Week.3],-3.954437619372958,1.0547777599327637,-3.7490718610003984,0.00017749022626554423,-6.021764040535009,-1.887111198210906,True
C(SampleType)[T.Groin],3.365464797651612,1.323114079606654,2.5435938212161755,0.010971858707683245,0.7722088541847083,5.9587207411185155,True
C(PostNatalAbxCohort)[T.Low.Infant.Abx],4.1689957101335855,1.9963037205078933,2.0883574314398023,0.036765604381977,0.2563123157348004,8.08167910453237,True
C(Location)[T.Hangzhou],3.5796790242221896,1.8355927564178924,1.9501488070849835,0.05115838538740731,-0.01801666863948359,7.177374717083863,False
Intercept,-6.457782214807841,3.6578425745610734,-1.7654620403073933,0.07748614451809037,-13.627021922064813,0.7114574924491306,False
C(UVC)[T.UVC],-2.9639861865475385,1.958005726015624,-1.5137780994027017,0.13008212899742994,-6.801606891061363,0.8736345179662854,False
C(PICC)[T.PICC_UE],2.362740178795949,1.7793316855423524,1.3278806857619523,0.1842175262539908,-1.1246858414180103,5.850166199009909,False
C(GestationCohort)[T.33-36 Weeks],-3.9262113896255917,2.958213102346375,-1.3272239875184875,0.18443459968242792,-9.724202528818989,1.8717797495678044,False
Group Var,0.04678257957422184,0.037091788827947614,1.261265122348925,0.20721334274134873,-0.02591599065072063,0.11948114979916431,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-1.9387691947829069,1.5669476301462002,-1.2372903583267902,0.21597930605387805,-5.009930115529848,1.1323917259640344,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],2.26996972158811,1.8797501773547933,1.2075911729836557,0.22720455619264923,-1.4142729259600642,5.954212369136284,False
C(PICC)[T.axillary],4.14411222563496,3.712589486255534,1.1162322796465856,0.2643227205963763,-3.132429456807948,11.420653908077869,False
C(AnyMilk)[T.Mother],2.546613925894205,2.2829419699469806,1.1154965651419286,0.2646376895551822,-1.9278701139967995,7.021097965785209,False
C(PICC)[T.PICC_Neck],-3.8429780266386637,4.33763845739588,-0.8859608896371257,0.3756386027936752,-12.344593181090467,4.65863712781314,False
C(PICC)[T.PICC_LE],1.1548373711919908,2.06244352019408,0.5599364830525485,0.5755227628434171,-2.8874776485364135,5.197152390920395,False
C(PICC)[T.peripheral_UE],1.7658039029912833,3.7247465744742834,0.47407356921739346,0.6354474457073376,-5.53456523451725,9.066173040499816,False
C(AnyMilk)[T.No.Milk],1.1050290558512912,3.032567404950913,0.36438730233901523,0.7155688159543732,-4.838693838542593,7.048751950245174,False
C(GestationCohort)[T.28-32 Weeks],-0.6143615035752544,2.3602606322142994,-0.2602939248276517,0.7946370584270563,-5.240387336843019,4.011664329692511,False
C(Delivery)[T.Vaginal],0.42347485696594694,1.8291097213207934,0.2315196579132264,0.816911115436015,-3.1615143205949034,4.0084640345267974,False
