Variable,Coefficient,Std_Error,Z_stat,P-value,CI_Lower,CI_Upper,Significant
C(Location)[T.Hangzhou],-5.923341116372048,1.3525050179452485,-4.379533560157064,1.1893360510964637e-05,-8.574202240454435,-3.2724799922896612,True
C(UVC)[T.UVC],5.280432978030188,1.4555118490761823,3.627887317703181,0.0002857499159066873,2.4276821747695716,8.133183781290803,True
C(SampleType)[T.Groin],-2.743150209193829,1.004229197743991,-2.7315977421850888,0.006302804240743997,-4.711403268995603,-0.7748971493920545,True
C(PostNatalAbxCohort)[T.Low.Infant.Abx],3.703617821015063,1.4659769660190867,2.526382001125414,0.011524409527269866,0.8303557654523543,6.576879876577772,True
C(PICC)[T.PICC_UE],-2.428525949385628,1.2862146306918218,-1.8881187411772684,0.059010011419485246,-4.949460301930085,0.09240840315882926,False
C(GestationCohort)[T.28-32 Weeks],2.7242291235377345,1.7269668951151438,1.5774645890685122,0.1146886638447095,-0.6605637933809083,6.109022040456377,False
C(MaternalAntibiotics)[T.None.Mat.Abx],1.769543228411943,1.1395743884283867,1.5528106338475727,0.12046838148656942,-0.4639815306119528,4.003067987435839,False
C(SampleType)[T.Stool],1.135598009663531,0.937461457423113,1.2113543449402755,0.2257596289771997,-0.7017926837802,2.972988703107262,False
C(SampleCollectionWeek)[T.Week.3],-0.9467488736173557,0.8012163350422419,-1.1816395051000066,0.23734877135525956,-2.5171040341253272,0.6236062868906156,False
C(AnyMilk)[T.No.Milk],2.524148147998228,2.2224982513406144,1.135725594598627,0.25607142534641303,-1.831868380332625,6.880164676329081,False
C(PICC)[T.axillary],-3.0315673364920563,2.7120845969120975,-1.1177996954607217,0.2636525516238002,-8.347155469465598,2.2840207964814843,False
C(PICC)[T.PICC_Neck],-2.770610462969543,3.146564044074853,-0.8805193297071928,0.37857803842851667,-8.937762664404957,3.3965417384658716,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],1.1645970789011075,1.3755490140832938,0.8466416441563365,0.3971948945767012,-1.5314294476717278,3.860623605473943,False
Group Var,0.02201505179390371,0.0317963627941399,0.6923764185368115,0.48870097088758957,-0.040304674121979855,0.08433477770978728,False
C(AnyMilk)[T.Mother],1.0593233719683723,1.6535408598916264,0.6406393683176361,0.5217570154216009,-2.1815571603846067,4.300203904321352,False
Intercept,-1.4322082562171716,2.667166361461264,-0.5369774742631749,0.5912831738232702,-6.659758265457988,3.7953417530236453,False
C(Delivery)[T.Vaginal],0.7144233455172185,1.3369145972928564,0.5343821863893683,0.5930771409714659,-1.90588111558265,3.334727806617087,False
C(PICC)[T.peripheral_UE],-1.091123199872902,2.717053493185792,-0.4015832601784889,0.6879907515512268,-6.4164501905858,4.234203790839996,False
C(GestationCohort)[T.33-36 Weeks],0.38384577983554474,2.169056704661555,0.17696438226378108,0.8595363668097712,-3.8674272417262365,4.635118801397326,False
C(PICC)[T.PICC_LE],-0.1701495543381953,1.4955328270244959,-0.1137718619501813,0.9094186446402813,-3.1013400330035776,2.761040924327187,False
