Variable,Coefficient,P-value,Significant
Intercept,0.6022528004936324,0.0,True
Location_Different,0.034618840517363,0.0,True
SampleType_Different,0.10460499693624771,0.0,True
SampleCollectionWeek_Different,0.024560748859382905,1.0110200206330446e-200,True
GestationCohort_Different,0.015077144453156239,3.7165790244869864e-47,True
PostNatalAbxCohort_Different,0.004858304639965583,5.607201055167989e-07,True
MaternalAntibiotics_Different,0.00927477550134633,7.31799281790132e-19,True
AnyMilk_Different,0.0020353737354335145,0.052695864404405234,False
PICC_Different,0.007334116139728218,2.189361427108215e-11,True
UVC_Different,0.012575613944994063,1.4486982547954229e-22,True
Delivery_Different,-0.0026860283918495958,0.013487652072399497,True
Group Var,0.06079061530204151,2.4969235705827608e-172,True
