Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(UVC)[T.UVC],-2.9259181464839523,0.555317197065599,-5.268913266048767,1.37233784560454e-07,-4.014319852728258,-1.8375164402396464,True
C(SampleType)[T.Groin],1.7996105996253464,0.36147381077027785,4.978536607646595,6.406682701134009e-07,1.0911349491611553,2.5080862500895376,True
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-1.3270631060837177,0.5585470318905461,-2.37592007532818,0.01750525407803015,-2.421795172260933,-0.2323310399065024,True
Intercept,2.0869856607123167,1.0217434386535376,2.0425730978635546,0.04109471646457469,0.08440531951127284,4.089566001913361,True
Group Var,0.06796387123595153,0.04026035620354413,1.688109039382236,0.09139029956476963,-0.010944976927748706,0.14687271939965177,False
C(GestationCohort)[T.28-32 Weeks],-1.1056623508181063,0.6625643465426213,-1.6687622214923716,0.09516451247150423,-2.4042646074819594,0.19293990584574705,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.861564767617295,0.5272849384752348,-1.6339643042122667,0.10226634601892527,-1.8950242566191733,0.1718947213845835,False
C(SampleCollectionWeek)[T.Week.3],0.39664630866561157,0.2884449345680973,1.3751196888221646,0.16909434128499046,-0.16869537461087158,0.9619879919420947,False
C(PICC)[T.PICC_LE],-0.7993805981850395,0.582502376582923,-1.3723216081526879,0.16996334179541672,-1.9410642771965563,0.3423030808264773,False
C(Delivery)[T.Vaginal],-0.7181365291550483,0.5253114147647289,-1.3670681979691608,0.1716039302898339,-1.7477279827616994,0.3114549244516027,False
C(AnyMilk)[T.No.Milk],-1.14116700645372,0.8466875981892659,-1.3478017262733393,0.17772216255152284,-2.8006442050614018,0.5183101921539617,False
C(PICC)[T.PICC_Neck],-1.4985936746928195,1.202439276679235,-1.246294680951766,0.21265622991669275,-3.855331350580513,0.8581440011948742,False
C(Location)[T.Hangzhou],0.5945887411610865,0.5115185496678757,1.162399177013517,0.24507335743686076,-0.4079691936121127,1.5971466759342858,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.4758602201580255,0.4397692546313871,-1.082067959837005,0.2792223314234513,-1.3377921207435686,0.38607168042751766,False
C(PICC)[T.peripheral_UE],-1.068665048443126,1.0361540648681795,-1.0313765922243257,0.30236425340701945,-3.0994896980195366,0.9621596011332849,False
C(PICC)[T.axillary],-0.8900594997332312,1.0606528052724717,-0.8391619720503952,0.40137842378427935,-2.968900798168651,1.1887817987021885,False
C(AnyMilk)[T.Mother],-0.4930408811468264,0.643000447021043,-0.7667815526894821,0.44321140615262755,-1.7532985993512256,0.7672168370575728,False
C(SampleType)[T.Stool],-0.2566065774843011,0.3369182926157338,-0.7616285108537255,0.44628175353737365,-0.9169542967438666,0.4037411417752644,False
C(GestationCohort)[T.33-36 Weeks],-0.5619438752296142,0.8283601851417257,-0.6783810778320667,0.49753010345672655,-2.185500004334328,1.0616122538750994,False
C(PICC)[T.PICC_UE],0.17681202315977473,0.5094095432757797,0.34709209023210974,0.728522135641227,-0.8216123350417516,1.1752363813613012,False
