"Location","SampleType","SampleCollectionWeek","n","median_shannon","q25","q75","iqr","median_iqr_label"
"Cincinnati","Axilla","Week.1",53,1.96350436482556,1.54386683081653,2.12256718445739,0.578700353640861,"1.96 (1.54-2.12)"
"Cincinnati","Axilla","Week.3",55,2.13694226772031,1.93922355487653,2.34140115552528,0.402177600648757,"2.14 (1.94-2.34)"
"Cincinnati","Groin","Week.1",39,1.82179626443216,1.38572297992137,2.2995684344627,0.913845454541335,"1.82 (1.39-2.30)"
"Cincinnati","Groin","Week.3",52,2.49619925183568,1.59820108738142,2.76432350031016,1.16612241292874,"2.50 (1.60-2.76)"
"Cincinnati","Stool","Week.1",62,1.35260129798989,1.01793955683154,1.88120978758604,0.863270230754491,"1.35 (1.02-1.88)"
"Cincinnati","Stool","Week.3",60,1.73168132723103,1.17708576163634,2.23733895290295,1.06025319126661,"1.73 (1.18-2.24)"
"Hangzhou","Axilla","Week.1",29,1.83808635513965,1.31560569791481,2.23244795618435,0.916842258269534,"1.84 (1.32-2.23)"
"Hangzhou","Axilla","Week.3",38,2.0655209384473,1.85403957188816,2.53483048283283,0.68079091094467,"2.07 (1.85-2.53)"
"Hangzhou","Groin","Week.1",14,1.48269867631003,0.890046501352581,2.36782319181328,1.4777766904607,"1.48 (0.89-2.37)"
"Hangzhou","Groin","Week.3",24,1.60664173490882,0.933621145186086,2.22567011999356,1.29204897480748,"1.61 (0.93-2.23)"
"Hangzhou","Stool","Week.1",34,1.4408706302531,0.874129651310488,2.92066783263939,2.0465381813289,"1.44 (0.87-2.92)"
"Hangzhou","Stool","Week.3",43,1.25226853580017,0.848550553697742,1.67156869241315,0.823018138715408,"1.25 (0.85-1.67)"
