"Organism","Location","SampleType","SampleCollectionWeek","n","median_abundance","y_pos"
"Staphylococcus.aureus","Cincinnati","Axilla","Week.1",60,33534,102666
"Staphylococcus.aureus","Cincinnati","Axilla","Week.3",58,11502,88773
"Staphylococcus.aureus","Cincinnati","Groin","Week.1",52,21404,101836.5
"Staphylococcus.aureus","Cincinnati","Groin","Week.3",57,2163,66700.5
"Staphylococcus.aureus","Cincinnati","Stool","Week.1",62,2856.5,103429.5
"Staphylococcus.aureus","Cincinnati","Stool","Week.3",63,349,29887.5
"Staphylococcus.aureus","Hangzhou","Axilla","Week.1",43,21598,88968
"Staphylococcus.aureus","Hangzhou","Axilla","Week.3",44,10365.5,89877
"Staphylococcus.aureus","Hangzhou","Groin","Week.1",21,3349,90712.5
"Staphylococcus.aureus","Hangzhou","Groin","Week.3",36,3652,83749.5
"Staphylococcus.aureus","Hangzhou","Stool","Week.1",39,5597,95412
"Staphylococcus.aureus","Hangzhou","Stool","Week.3",43,249,81114
"Klebsiella.pneumoniae","Cincinnati","Axilla","Week.1",60,1,44587.5
"Klebsiella.pneumoniae","Cincinnati","Axilla","Week.3",58,9.5,8982
"Klebsiella.pneumoniae","Cincinnati","Groin","Week.1",52,23,57699
"Klebsiella.pneumoniae","Cincinnati","Groin","Week.3",57,899,80152.5
"Klebsiella.pneumoniae","Cincinnati","Stool","Week.1",62,57.5,74383.5
"Klebsiella.pneumoniae","Cincinnati","Stool","Week.3",63,1688,85300.5
"Klebsiella.pneumoniae","Hangzhou","Axilla","Week.1",43,20,2521.5
"Klebsiella.pneumoniae","Hangzhou","Axilla","Week.3",44,52.5,68359.5
"Klebsiella.pneumoniae","Hangzhou","Groin","Week.1",21,23,88222.5
"Klebsiella.pneumoniae","Hangzhou","Groin","Week.3",36,1177.5,95697
"Klebsiella.pneumoniae","Hangzhou","Stool","Week.1",39,26,91872
"Klebsiella.pneumoniae","Hangzhou","Stool","Week.3",43,294,101361
"Klebsiella.oxytoca","Cincinnati","Axilla","Week.1",60,3.5,1366.5
"Klebsiella.oxytoca","Cincinnati","Axilla","Week.3",58,6,900
"Klebsiella.oxytoca","Cincinnati","Groin","Week.1",52,22,90045
"Klebsiella.oxytoca","Cincinnati","Groin","Week.3",57,236,92026.5
"Klebsiella.oxytoca","Cincinnati","Stool","Week.1",62,8,99760.5
"Klebsiella.oxytoca","Cincinnati","Stool","Week.3",63,454,83521.5
"Klebsiella.oxytoca","Hangzhou","Axilla","Week.1",43,8,244.5
"Klebsiella.oxytoca","Hangzhou","Axilla","Week.3",44,5.5,541.5
"Klebsiella.oxytoca","Hangzhou","Groin","Week.1",21,20,639
"Klebsiella.oxytoca","Hangzhou","Groin","Week.3",36,66,1261.5
"Klebsiella.oxytoca","Hangzhou","Stool","Week.1",39,14,3507
"Klebsiella.oxytoca","Hangzhou","Stool","Week.3",43,31,9618
"Enterococcus.faecium","Cincinnati","Axilla","Week.1",60,24.5,1069.5
"Enterococcus.faecium","Cincinnati","Axilla","Week.3",58,22.5,141
"Enterococcus.faecium","Cincinnati","Groin","Week.1",52,33,2856
"Enterococcus.faecium","Cincinnati","Groin","Week.3",57,28,9319.5
"Enterococcus.faecium","Cincinnati","Stool","Week.1",62,20.5,2232
"Enterococcus.faecium","Cincinnati","Stool","Week.3",63,15,7735.5
"Enterococcus.faecium","Hangzhou","Axilla","Week.1",43,1,183
"Enterococcus.faecium","Hangzhou","Axilla","Week.3",44,2,91.5
"Enterococcus.faecium","Hangzhou","Groin","Week.1",21,1,12756
"Enterococcus.faecium","Hangzhou","Groin","Week.3",36,37.5,15519
"Enterococcus.faecium","Hangzhou","Stool","Week.1",39,55,90610.5
"Enterococcus.faecium","Hangzhou","Stool","Week.3",43,147,98074.5
"Enterococcus.faecalis","Cincinnati","Axilla","Week.1",60,8,14121
"Enterococcus.faecalis","Cincinnati","Axilla","Week.3",58,30.5,1255.5
"Enterococcus.faecalis","Cincinnati","Groin","Week.1",52,29.5,82516.5
"Enterococcus.faecalis","Cincinnati","Groin","Week.3",57,920,30979.5
"Enterococcus.faecalis","Cincinnati","Stool","Week.1",62,195,86416.5
"Enterococcus.faecalis","Cincinnati","Stool","Week.3",63,882,59923.5
"Enterococcus.faecalis","Hangzhou","Axilla","Week.1",43,5,679.5
"Enterococcus.faecalis","Hangzhou","Axilla","Week.3",44,10.5,117
"Enterococcus.faecalis","Hangzhou","Groin","Week.1",21,4,66766.5
"Enterococcus.faecalis","Hangzhou","Groin","Week.3",36,5.5,14286
"Enterococcus.faecalis","Hangzhou","Stool","Week.1",39,91,82801.5
"Enterococcus.faecalis","Hangzhou","Stool","Week.3",43,37,97413
"Serratia.marcescens","Cincinnati","Axilla","Week.1",60,1,702
"Serratia.marcescens","Cincinnati","Axilla","Week.3",58,1,196.5
"Serratia.marcescens","Cincinnati","Groin","Week.1",52,2.5,303
"Serratia.marcescens","Cincinnati","Groin","Week.3",57,14,3906
"Serratia.marcescens","Cincinnati","Stool","Week.1",62,2.5,2838
"Serratia.marcescens","Cincinnati","Stool","Week.3",63,33,3508.5
"Serratia.marcescens","Hangzhou","Axilla","Week.1",43,1,798
"Serratia.marcescens","Hangzhou","Axilla","Week.3",44,2.5,12321
"Serratia.marcescens","Hangzhou","Groin","Week.1",21,24,95509.5
"Serratia.marcescens","Hangzhou","Groin","Week.3",36,7,33220.5
