"Species","Week","SampleType","p_value","p_label"
"Staphylococcus.aureus","Week.1","Axilla",0.0430762228362475,"*"
"Staphylococcus.aureus","Week.1","Groin",0.00106805402136073,"**"
"Staphylococcus.aureus","Week.1","Stool",0.875288928475917,""
"Staphylococcus.aureus","Week.3","Axilla",0.672812720715293,""
"Staphylococcus.aureus","Week.3","Groin",0.26948262635793,""
"Staphylococcus.aureus","Week.3","Stool",0.946135435292392,""
"Staphylococcus.epidermidis","Week.1","Axilla",0.000225873640748872,"***"
"Staphylococcus.epidermidis","Week.1","Groin",1.6732684894416e-06,"***"
"Staphylococcus.epidermidis","Week.1","Stool",0.00411387439305802,"**"
"Staphylococcus.epidermidis","Week.3","Axilla",0.00014237419962129,"***"
"Staphylococcus.epidermidis","Week.3","Groin",0.00429445619194244,"**"
"Staphylococcus.epidermidis","Week.3","Stool",0.961064732810239,""
"Staphylococcus.capitis","Week.1","Axilla",0.427712589548805,""
"Staphylococcus.capitis","Week.1","Groin",0.167906363264735,""
"Staphylococcus.capitis","Week.1","Stool",0.00232753181003174,"**"
"Staphylococcus.capitis","Week.3","Axilla",0.109167199978238,""
"Staphylococcus.capitis","Week.3","Groin",0.568084777611449,""
"Staphylococcus.capitis","Week.3","Stool",0.000328685213543141,"***"
"Staphylococcus.hominis","Week.1","Axilla",0.000792115627673829,"***"
"Staphylococcus.hominis","Week.1","Groin",0.00363318008342539,"**"
"Staphylococcus.hominis","Week.1","Stool",0.586012001260031,""
"Staphylococcus.hominis","Week.3","Axilla",0.0106652940581064,"*"
"Staphylococcus.hominis","Week.3","Groin",0.000814237244708564,"***"
"Staphylococcus.hominis","Week.3","Stool",0.284816106727705,""
"Staphylococcus.haemolyticus","Week.1","Axilla",0.104382481327215,""
"Staphylococcus.haemolyticus","Week.1","Groin",0.00117770083190389,"**"
"Staphylococcus.haemolyticus","Week.1","Stool",0.659158260016731,""
"Staphylococcus.haemolyticus","Week.3","Axilla",0.630887323034679,""
"Staphylococcus.haemolyticus","Week.3","Groin",0.223299617112754,""
"Staphylococcus.haemolyticus","Week.3","Stool",0.0101619921985771,"*"
"Staphylococcus.warneri","Week.1","Axilla",0.0231769824116289,"*"
"Staphylococcus.warneri","Week.1","Groin",0.0109483173672842,"*"
"Staphylococcus.warneri","Week.1","Stool",0.0415624954474278,"*"
"Staphylococcus.warneri","Week.3","Axilla",0.374283546538746,""
"Staphylococcus.warneri","Week.3","Groin",0.00800604130422038,"**"
"Staphylococcus.warneri","Week.3","Stool",0.000458273720512595,"***"
