Feature,SHAP Importance,Microbe
NEC_30D,0.043665237024435415,Klebsiella.pneumoniae
Delivery,0.18340800934236692,Klebsiella.pneumoniae
AnyMilk,0.1991153725576675,Klebsiella.pneumoniae
UVC,0.20230127105307452,Klebsiella.pneumoniae
Location,0.26041540223344045,Klebsiella.pneumoniae
BSI_30D,0.28898709980785164,Klebsiella.pneumoniae
MaternalAntibiotics,0.3248348051296131,Klebsiella.pneumoniae
GestationCohort,0.3772039605565475,Klebsiella.pneumoniae
PostNatalAbxCohort,0.5230784146462569,Klebsiella.pneumoniae
PICC,0.5804825270170532,Klebsiella.pneumoniae
SampleCollectionWeek,1.5249730306466873,Klebsiella.pneumoniae
SampleType,1.730027738380922,Klebsiella.pneumoniae
NEC_30D,0.04647610973879613,Staphylococcus.aureus
BSI_30D,0.0590803424352528,Staphylococcus.aureus
Delivery,0.06657377627419347,Staphylococcus.aureus
AnyMilk,0.0716881286366586,Staphylococcus.aureus
UVC,0.08885996498400478,Staphylococcus.aureus
MaternalAntibiotics,0.09389242802090693,Staphylococcus.aureus
Location,0.15698930357897933,Staphylococcus.aureus
GestationCohort,0.1912541806533662,Staphylococcus.aureus
PICC,0.20727503947495554,Staphylococcus.aureus
PostNatalAbxCohort,0.2968521680438852,Staphylococcus.aureus
SampleCollectionWeek,0.43630425475680085,Staphylococcus.aureus
SampleType,0.6585937937504338,Staphylococcus.aureus
NEC_30D,0.0943106695925252,Escherichia.coli
Delivery,0.13578188407103425,Escherichia.coli
AnyMilk,0.16039703218018578,Escherichia.coli
UVC,0.2605388178473752,Escherichia.coli
BSI_30D,0.2835810838216217,Escherichia.coli
MaternalAntibiotics,0.32359552930874785,Escherichia.coli
PostNatalAbxCohort,0.36904538999685493,Escherichia.coli
GestationCohort,0.43311244591683357,Escherichia.coli
PICC,0.4500390931032963,Escherichia.coli
Location,0.532150180191409,Escherichia.coli
SampleCollectionWeek,0.9849964846010109,Escherichia.coli
SampleType,1.4601761248952991,Escherichia.coli
NEC_30D,0.019115300077551113,Klebsiella.oxytoca
BSI_30D,0.11306521264899605,Klebsiella.oxytoca
GestationCohort,0.17761601190984078,Klebsiella.oxytoca
AnyMilk,0.1845605821648456,Klebsiella.oxytoca
Delivery,0.1868834650079134,Klebsiella.oxytoca
MaternalAntibiotics,0.28545410750353234,Klebsiella.oxytoca
UVC,0.3216493818948307,Klebsiella.oxytoca
