Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
Intercept,-26.403741858153953,12.311629217195412,-2.1446180186515336,0.031983400439528825,True,-50.53409171486802,-2.2733920014398876,PC1
C(SampleType)[T.Groin],31.551344370003246,2.875830000366878,10.971213307454942,5.256227920639939e-28,True,25.914821143624355,37.18786759638214,PC1
C(SampleType)[T.Stool],64.10675314084173,2.6803885917581556,23.916962390439064,2.0402183350968336e-126,True,58.85328803642371,69.36021824525974,PC1
C(Location)[T.ZCH],4.419530498027267,4.31987095197529,1.0230700285170342,0.3062747366257478,False,-4.0472609857050585,12.886321981759593,PC1
C(GestationCohort)[T.28-32 Weeks],-6.8210948684952815,5.441439221869286,-1.2535460914607155,0.21000703603985504,False,-17.48611976742274,3.843930030432176,PC1
C(GestationCohort)[T.33-36 Weeks],-1.311612900606971,6.956481689901376,-0.1885454399328069,0.8504490982851391,False,-14.946066471926,12.32284067071206,PC1
C(SampleCollectionWeek)[T.Week.3],11.391195391416801,2.3020309315211813,4.948324210348252,7.485515140271176e-07,True,6.879297674338094,15.903093108495508,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx],0.40926014530837135,3.5533435829927007,0.11517606889105945,0.9083055666851119,False,-6.555165302053835,7.3736855926705775,PC1
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-2.5063629589383014,4.424790199992355,-0.5664365643692286,0.5710970445029506,False,-11.178792390069098,6.1660664721924965,PC1
C(PostNatalAbxCohort)[T.No.Infant.Abx],-7.1896951531572295,4.204342980961962,-1.7100638995708701,0.0872540574957219,False,-15.430055974496446,1.0506656681819866,PC1
C(BSI_30D)[T.BSI ],-5.484074481175899,16.31206488294165,-0.3361974416194771,0.736721982035781,False,-37.455134165222105,26.48698520287031,PC1
C(BSI_30D)[T.BSI and No.BSI],15.779689823519723,15.108764483445889,1.044406366967262,0.2962974191169193,False,-13.83294441493213,45.39232406197158,PC1
C(BSI_30D)[T.No.BSI],4.36701997230666,5.0689038401232605,0.8615314296829247,0.38894541856455,False,-5.567848995431707,14.301888940045028,PC1
C(BSI_30D)[T.No.BSI ],-7.956957782175165,18.111996006992957,-0.439319762388586,0.660429856555399,False,-43.45581764401463,27.541902079664297,PC1
C(BSI_30D)[T.No.BSI  ],8.6883787458587,20.97343432374025,0.41425636887823136,0.6786863636641122,False,-32.41879716078837,49.79555465250577,PC1
C(BSI_30D)[T.PICC],-0.919166564884786,12.134750475725198,-0.07574663910259388,0.939620669911434,False,-24.702840458686463,22.86450732891689,PC1
C(NEC_30D)[T.No.NEC],-4.858068914533121,8.079990270480778,-0.6012468767792284,0.547675566437534,False,-20.694558840109494,10.978421011043254,PC1
C(AnyMilk)[T.Mother],4.571797651931371,5.011483686816155,0.9122642988858812,0.361629603144786,False,-5.2505298833383005,14.394125187201043,PC1
C(AnyMilk)[T.No.Milk],3.402592526488169,6.972201288085866,0.4880227041497693,0.6255337594221545,False,-10.262670891123904,17.06785594410024,PC1
C(PICC)[T.PICC_LE],-4.445965781092119,4.61480049098699,-0.9634145159201104,0.33533954451696324,False,-13.490808539264378,4.598876977080141,PC1
C(PICC)[T.PICC_Neck],-20.382697552890576,11.023781484148973,-1.848975107334877,0.06446140721612979,False,-41.98891223526206,1.2235171294809142,PC1
C(PICC)[T.PICC_UE],-2.4219448060490043,3.889154517369592,-0.6227432711228643,0.5334532425398286,False,-10.044547590404662,5.200657978306652,PC1
C(PICC)[T.axillary],-14.513756191203008,9.349976426992706,-1.5522773029997,0.1205958863153203,False,-32.83937324440721,3.8118608620011933,PC1
C(PICC)[T.peripheral_UE],-8.686339471779297,8.394103486697182,-1.034814436770436,0.3007555794683848,False,-25.138479988207862,7.765801044649271,PC1
C(UVC)[T.UVC],-12.535032441051882,4.544012308626675,-2.758582413444279,0.00580526650336504,True,-21.44113291126687,-3.628931970836895,PC1
C(Delivery)[T.Vaginal],-11.660174597669345,4.202982639969106,-2.774261898392008,0.00553271176453841,True,-19.89786919965587,-3.4224799956828207,PC1
Group Var,0.04812032803753551,0.037992747678136846,1.2665661469182616,0.205310463559512,False,-0.02634408908533046,0.12258474516040149,PC1
Intercept,20.149756000816183,10.789256552776182,1.8675759448533507,0.061821201981840955,False,-0.9967982625879124,41.29631026422028,PC2
C(SampleType)[T.Groin],-8.190867910966855,2.415169024780121,-3.3914263668202507,0.0006952984330761527,True,-12.924512216112618,-3.457223605821092,PC2
C(SampleType)[T.Stool],-16.204237928186462,2.2463644970997634,-7.213539008966458,5.451609689360153e-13,True,-20.60703143865143,-11.801444417721495,PC2
C(Location)[T.ZCH],-17.094104730169352,3.742215619130472,-4.567910155359054,4.926110856855866e-06,True,-24.42871256604834,-9.759496894290367,PC2
C(GestationCohort)[T.28-32 Weeks],1.9572347075041567,4.961378831866043,0.3944941061410572,0.6932162777683133,False,-7.766889116612692,11.681358531621004,PC2
C(GestationCohort)[T.33-36 Weeks],11.46683208885647,6.200311111964295,1.8493962450899841,0.06440061724528702,False,-0.6855543835370419,23.619218561249983,PC2
C(SampleCollectionWeek)[T.Week.3],21.608808402812897,1.9340322489318653,11.172930758909057,5.532475287593843e-29,True,17.818174849967438,25.399441955658357,PC2
C(MaternalAntibiotics)[T.None.Mat.Abx],-3.226169040092932,3.1726453478149708,-1.016870367283511,0.30921510173499267,False,-9.444439657528829,2.9921015773429636,PC2
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-4.740709012044135,3.894772922699938,-1.2171977946169392,0.2235289690881167,False,-12.374323668497818,2.892905644409547,PC2
C(PostNatalAbxCohort)[T.No.Infant.Abx],-8.906208844691527,3.7020987332881066,-2.405718887130076,0.016140679461690535,True,-16.16218902914757,-1.6502286602354825,PC2
C(BSI_30D)[T.BSI ],-17.06402742984963,14.285609988199731,-1.1944906408578242,0.23228609957683677,False,-45.06330850390677,10.93525364420751,PC2
C(BSI_30D)[T.BSI and No.BSI],-3.572300448156935,13.569350946676014,-0.26326244064252874,0.7923483068658048,False,-30.167739597226408,23.02313870091254,PC2
C(BSI_30D)[T.No.BSI],0.3904555565341082,4.455089070760977,0.08764259262439712,0.9301607483891037,False,-8.341358570075421,9.122269683143639,PC2
C(BSI_30D)[T.No.BSI ],3.3152594741435055,16.110051293140227,0.20578826310473428,0.8369563096694373,False,-28.259860849504264,34.890379797791276,PC2
C(BSI_30D)[T.No.BSI  ],-4.368390448803239,18.2195703590678,-0.23976363672204326,0.8105134984675335,False,-40.07809216636963,31.34131126876315,PC2
C(BSI_30D)[T.PICC],-21.81779909899246,11.228305170320457,-1.9431070645161115,0.052003223640595835,False,-43.82487284024543,0.18927464226051427,PC2
C(NEC_30D)[T.No.NEC],-6.020104641272263,7.090123598071309,-0.8490831729520035,0.395835012966941,False,-19.916491539429572,7.8762822568850455,PC2
C(AnyMilk)[T.Mother],-3.234729825781883,4.477293810603069,-0.7224743254779121,0.4700029048936737,False,-12.010064442767996,5.540604791204229,PC2
C(AnyMilk)[T.No.Milk],-8.407676824819264,6.062180691649567,-1.3869063382423643,0.16547032488790125,False,-20.28933264822653,3.4739789985880023,PC2
C(PICC)[T.PICC_LE],-3.2568405582229416,4.172990125318203,-0.7804572885191281,0.4351217585561479,False,-11.435750911687908,4.922069795242024,PC2
C(PICC)[T.PICC_Neck],-19.328525283912366,9.805762152085757,-1.9711395181863602,0.04870791964565569,True,-38.547465942966426,-0.10958462485831078,PC2
C(PICC)[T.PICC_UE],-4.359407342686192,3.5657989561961,-1.2225611696674825,0.22149548685864429,False,-11.348244872941066,2.6294301875686816,PC2
C(PICC)[T.axillary],-13.692799439082817,8.491876750819271,-1.6124585696279419,0.1068621885175787,False,-30.336572031841605,2.950973153675969,PC2
C(PICC)[T.peripheral_UE],-0.48635964543965626,7.384657418099283,-0.06586082710453467,0.9474886282788179,False,-14.960022223080795,13.987302932201484,PC2
C(UVC)[T.UVC],-0.10369059710355719,4.036866499905991,-0.025685911859104554,0.9795078608585954,False,-8.015803547315565,7.808422353108451,PC2
C(Delivery)[T.Vaginal],-6.3947124184556134,3.7058663032839556,-1.725564792445139,0.08442573793130026,False,-13.658076904412756,0.8686520675015288,PC2
Group Var,0.09385275556190008,0.06490939418057773,1.4459040443483728,0.1482041174182406,False,-0.033367319290346045,0.22107283041414622,PC2
Intercept,-14.490426807331112,9.55536009558635,-1.5164710343071512,0.12940028919757215,False,-33.218588453991565,4.237734839329342,PC3
C(SampleType)[T.Groin],0.09991260511009657,2.1593289311588495,0.04627021092913175,0.963094882104731,False,-4.132294330736618,4.332119540956811,PC3
C(SampleType)[T.Stool],11.978809757577208,2.0118646117136607,5.954083434756542,2.6153336234086334e-09,True,8.035627576847773,15.921991938306643,PC3
C(Location)[T.ZCH],-14.007019818635099,3.3038353407396714,-4.239624065374629,2.238944250605867e-05,True,-20.482418097335472,-7.531621539934726,PC3
C(GestationCohort)[T.28-32 Weeks],3.487842064670493,4.236772170429136,0.8232309702688627,0.41037666016187746,False,-4.816078800072209,11.791762929413196,PC3
C(GestationCohort)[T.33-36 Weeks],1.3637485506211384,5.4192299970010325,0.251649874867062,0.8013117042971105,False,-9.25774706743999,11.985244168682268,PC3
C(SampleCollectionWeek)[T.Week.3],-4.476430228029662,1.733125898032141,-2.5828650031208795,0.009798365461294253,True,-7.873294568846297,-1.079565887213028,PC3
C(MaternalAntibiotics)[T.None.Mat.Abx],4.56893468257761,2.7911214223466243,1.6369530347183163,0.10164028318658658,False,-0.9015627816999832,10.039432146855203,PC3
C(PostNatalAbxCohort)[T.Low.Infant.Abx],3.8861493558571447,3.4453245344252776,1.1279487075969759,0.25934158176142064,False,-2.8665626466686294,10.638861358382918,PC3
C(PostNatalAbxCohort)[T.No.Infant.Abx],10.024963414884944,3.2563660610117866,3.078573854123171,0.0020799396819233006,True,3.642603214823282,16.407323614946606,PC3
C(BSI_30D)[T.BSI ],-2.3382260827390255,12.678933808835307,-0.184418194620563,0.8536853973662495,False,-27.18847971042348,22.512027544945425,PC3
C(BSI_30D)[T.BSI and No.BSI],16.665570255607765,11.711685511859159,1.4229864897526785,0.15474007176448137,False,-6.288911545895733,39.620052057111266,PC3
C(BSI_30D)[T.No.BSI],6.044743855441916,3.9304764015341527,1.5379163332675188,0.12406907315983588,False,-1.6588483336496154,13.748336044533447,PC3
C(BSI_30D)[T.No.BSI ],0.5705265329029859,14.038585149981884,0.040639888336875755,0.9675829841155148,False,-26.94459475496034,28.08564782076631,PC3
C(BSI_30D)[T.No.BSI  ],-2.850771157709223,15.990234112852313,-0.17828201498425134,0.8585015025067677,False,-34.19105412326354,28.489511807845094,PC3
C(BSI_30D)[T.PICC],24.32083798609034,9.348783045586444,2.60149774227269,0.00928176760680272,True,5.99755991746223,42.64411605471845,PC3
C(NEC_30D)[T.No.NEC],4.545282023395316,6.265170756062514,0.7254841408747014,0.4681550706954569,False,-7.734227015480792,16.824791062271423,PC3
