Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(SampleType)[T.Stool],10.72176716,0.478032704,22.42894069,2.05E-111,9.784840281,11.65869405,TRUE
C(SampleType)[T.Groin],4.957245774,0.512296526,9.676516484,3.79E-22,3.953163035,5.961328514,TRUE
C(SampleCollectionWeek)[T.Week.3],1.730331283,0.408725335,4.233481839,2.30E-05,0.929244347,2.531418219,TRUE
Intercept,-4.827458965,1.39419253,-3.462548294,0.000535086,-7.560026111,-2.094891819,TRUE
C(Delivery)[T.Vaginal],-2.003726318,0.702014544,-2.854251862,0.004313832,-3.37964954,-0.627803096,TRUE
C(PICC)[T.PICC_Neck],-4.267439274,1.64088827,-2.600688513,0.009303689,-7.483521185,-1.051357362,TRUE
C(UVC)[T.UVC],-1.35320628,0.749109863,-1.806418987,0.070852918,-2.821434633,0.115022072,FALSE
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.207687696,0.718599401,-1.680613281,0.092838054,-2.616116641,0.200741248,FALSE
C(AnyMilk)[T.Mother],1.22106796,0.872200118,1.399986007,0.161517509,-0.488412858,2.930548777,FALSE
C(PICC)[T.axillary],-1.910068536,1.412376022,-1.352379611,0.176253908,-4.678274672,0.858137601,FALSE
C(GestationCohort)[T.28-32 Weeks],-1.034607125,0.900578503,-1.148825029,0.250628137,-2.799708557,0.730494307,FALSE
C(PICC)[T.PICC_UE],-0.756717115,0.674195914,-1.122399438,0.261692643,-2.078116826,0.564682595,FALSE
Group Var,0.036141088,0.032899075,1.098544203,0.271966927,-0.028339914,0.100622091,FALSE
C(PICC)[T.peripheral_UE],-1.195949312,1.426007832,-0.838669525,0.401654784,-3.990873305,1.598974681,FALSE
C(MaternalAntibiotics)[T.None.Mat.Abx],0.432380802,0.598487203,0.72245622,0.470014033,-0.740632561,1.605394165,FALSE
C(PICC)[T.PICC_LE],-0.557055426,0.792417227,-0.702982478,0.482066669,-2.110164652,0.9960538,FALSE
C(Location)[T.Hangzhou],0.483094002,0.711544409,0.678937247,0.497177624,-0.911507414,1.877695418,FALSE
C(AnyMilk)[T.No.Milk],0.400858883,1.193429888,0.335888088,0.73695526,-1.938220716,2.739938482,FALSE
C(GestationCohort)[T.33-36 Weeks],-0.334259467,1.130018063,-0.295800109,0.767382739,-2.549054172,1.880535238,FALSE
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.065007231,0.763036518,0.085195439,0.932106016,-1.430516863,1.560531326,FALSE
