Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
Intercept,20.149756000816183,10.789256552776182,1.8675759448533507,0.061821201981840955,False,-0.9967982625879124,41.29631026422028,PC2
C(SampleType)[T.Groin],-8.190867910966855,2.415169024780121,-3.3914263668202507,0.0006952984330761527,True,-12.924512216112618,-3.457223605821092,PC2
C(SampleType)[T.Stool],-16.204237928186462,2.2463644970997634,-7.213539008966458,5.451609689360153e-13,True,-20.60703143865143,-11.801444417721495,PC2
C(Location)[T.ZCH],-17.094104730169352,3.742215619130472,-4.567910155359054,4.926110856855866e-06,True,-24.42871256604834,-9.759496894290367,PC2
C(GestationCohort)[T.28-32 Weeks],1.9572347075041567,4.961378831866043,0.3944941061410572,0.6932162777683133,False,-7.766889116612692,11.681358531621004,PC2
C(GestationCohort)[T.33-36 Weeks],11.46683208885647,6.200311111964295,1.8493962450899841,0.06440061724528702,False,-0.6855543835370419,23.619218561249983,PC2
C(SampleCollectionWeek)[T.Week.3],21.608808402812897,1.9340322489318653,11.172930758909057,5.532475287593843e-29,True,17.818174849967438,25.399441955658357,PC2
C(MaternalAntibiotics)[T.None.Mat.Abx],-3.226169040092932,3.1726453478149708,-1.016870367283511,0.30921510173499267,False,-9.444439657528829,2.9921015773429636,PC2
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-4.740709012044135,3.894772922699938,-1.2171977946169392,0.2235289690881167,False,-12.374323668497818,2.892905644409547,PC2
C(PostNatalAbxCohort)[T.No.Infant.Abx],-8.906208844691527,3.7020987332881066,-2.405718887130076,0.016140679461690535,True,-16.16218902914757,-1.6502286602354825,PC2
C(BSI_30D)[T.BSI ],-17.06402742984963,14.285609988199731,-1.1944906408578242,0.23228609957683677,False,-45.06330850390677,10.93525364420751,PC2
C(BSI_30D)[T.BSI and No.BSI],-3.572300448156935,13.569350946676014,-0.26326244064252874,0.7923483068658048,False,-30.167739597226408,23.02313870091254,PC2
C(BSI_30D)[T.No.BSI],0.3904555565341082,4.455089070760977,0.08764259262439712,0.9301607483891037,False,-8.341358570075421,9.122269683143639,PC2
C(BSI_30D)[T.No.BSI ],3.3152594741435055,16.110051293140227,0.20578826310473428,0.8369563096694373,False,-28.259860849504264,34.890379797791276,PC2
C(BSI_30D)[T.No.BSI  ],-4.368390448803239,18.2195703590678,-0.23976363672204326,0.8105134984675335,False,-40.07809216636963,31.34131126876315,PC2
C(BSI_30D)[T.PICC],-21.81779909899246,11.228305170320457,-1.9431070645161115,0.052003223640595835,False,-43.82487284024543,0.18927464226051427,PC2
C(NEC_30D)[T.No.NEC],-6.020104641272263,7.090123598071309,-0.8490831729520035,0.395835012966941,False,-19.916491539429572,7.8762822568850455,PC2
C(AnyMilk)[T.Mother],-3.234729825781883,4.477293810603069,-0.7224743254779121,0.4700029048936737,False,-12.010064442767996,5.540604791204229,PC2
C(AnyMilk)[T.No.Milk],-8.407676824819264,6.062180691649567,-1.3869063382423643,0.16547032488790125,False,-20.28933264822653,3.4739789985880023,PC2
C(PICC)[T.PICC_LE],-3.2568405582229416,4.172990125318203,-0.7804572885191281,0.4351217585561479,False,-11.435750911687908,4.922069795242024,PC2
C(PICC)[T.PICC_Neck],-19.328525283912366,9.805762152085757,-1.9711395181863602,0.04870791964565569,True,-38.547465942966426,-0.10958462485831078,PC2
C(PICC)[T.PICC_UE],-4.359407342686192,3.5657989561961,-1.2225611696674825,0.22149548685864429,False,-11.348244872941066,2.6294301875686816,PC2
C(PICC)[T.axillary],-13.692799439082817,8.491876750819271,-1.6124585696279419,0.1068621885175787,False,-30.336572031841605,2.950973153675969,PC2
C(PICC)[T.peripheral_UE],-0.48635964543965626,7.384657418099283,-0.06586082710453467,0.9474886282788179,False,-14.960022223080795,13.987302932201484,PC2
C(UVC)[T.UVC],-0.10369059710355719,4.036866499905991,-0.025685911859104554,0.9795078608585954,False,-8.015803547315565,7.808422353108451,PC2
C(Delivery)[T.Vaginal],-6.3947124184556134,3.7058663032839556,-1.725564792445139,0.08442573793130026,False,-13.658076904412756,0.8686520675015288,PC2
Group Var,0.09385275556190008,0.06490939418057773,1.4459040443483728,0.1482041174182406,False,-0.033367319290346045,0.22107283041414622,PC2
