Variable,Coefficient,P-value,Significant
C(SampleType)[T.Stool],-3.3103916956719166,3.970341693354886e-23,True
C(SampleCollectionWeek)[T.Week.3],1.9964452653673883,3.423539362786319e-12,True
C(SampleType)[T.Groin],-1.3155762792702548,0.0002446726495806628,True
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.5812317901088446,0.003255006825776151,True
Group Var,0.09160109365174808,0.04918660224574788,True
C(Location)[T.Hangzhou],-0.6939409987131697,0.17973294983543642,False
Intercept,1.2839201291963138,0.2165397683638035,False
C(PICC)[T.PICC_Neck],-1.4485473232652957,0.23553360599074136,False
C(AnyMilk)[T.Mother],0.6788032028331156,0.3003725597671194,False
C(PICC)[T.PICC_LE],0.494900910267676,0.4069519935788115,False
C(PICC)[T.axillary],-0.7193869833399726,0.5120510782408323,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.26755897299026205,0.5548681383013974,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-0.31711706463677863,0.5788519574085438,False
C(PICC)[T.peripheral_UE],0.33611520259245237,0.7494329909901161,False
C(GestationCohort)[T.28-32 Weeks],-0.1741099995513393,0.795913247253891,False
C(GestationCohort)[T.33-36 Weeks],-0.18500987687179543,0.8280621995111406,False
C(AnyMilk)[T.No.Milk],-0.16478157713687977,0.8489158925786172,False
C(UVC)[T.UVC],-0.10591549051464855,0.8499185477939348,False
C(PICC)[T.PICC_UE],0.045185615574661296,0.930519360366584,False
C(Delivery)[T.Vaginal],-0.04139964323347944,0.9365698323317825,False
