Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2,PC
C(Location)[T.Hangzhou]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.4620936160493816,0.13002292002024957,0.00042324569426822634,True,Interaction,Location,MaternalAntibiotics,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.peripheral_UE],-1.0062318418101583,0.31165719674439357,0.0013428308101619505,True,Interaction,MaternalAntibiotics,PICC,PC1
C(Location)[T.Hangzhou]:C(GestationCohort)[T.28-32 Weeks],-0.7480480334618256,0.25658078174675536,0.003744740819189677,True,Interaction,Location,GestationCohort,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(Delivery)[T.Vaginal],-0.39314005931137685,0.1354614222122888,0.003903116499302745,True,Interaction,MaternalAntibiotics,Delivery,PC1
C(GestationCohort)[T.28-32 Weeks]:C(AnyMilk)[T.No.Milk],0.8101924013776183,0.28258750850691955,0.00435477364753053,True,Interaction,GestationCohort,AnyMilk,PC1
C(GestationCohort)[T.33-36 Weeks]:C(AnyMilk)[T.No.Milk],0.242001184523823,0.08899958492489395,0.006820758705106391,True,Interaction,GestationCohort,AnyMilk,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_LE],-0.6180638909143775,0.23046072621246588,0.007614252398048035,True,Interaction,MaternalAntibiotics,PICC,PC1
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.axillary],-0.3340268792505043,0.13206927531403378,0.011803284634399494,True,Interaction,SampleCollectionWeek,PICC,PC1
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_Neck],-0.333552272007554,0.14432984665729004,0.021321051894032987,True,Interaction,AnyMilk,PICC,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_Neck],-0.333552272007554,0.14432984665729004,0.021321051894032987,True,Interaction,MaternalAntibiotics,PICC,PC1
C(Location)[T.Hangzhou]:C(PICC)[T.PICC_Neck],-0.3335522720075584,0.14432984665729262,0.0213210518940336,True,Interaction,Location,PICC,PC1
C(Location)[T.Hangzhou]:C(PICC)[T.peripheral_UE],-0.263468632323273,0.11439994200570097,0.02177106195430605,True,Interaction,Location,PICC,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx]:C(PICC)[T.PICC_UE],-0.45875727341611183,0.20274046121920603,0.024166563045793045,True,Interaction,MaternalAntibiotics,PICC,PC1
C(PICC)[T.PICC_UE]:C(Delivery)[T.Vaginal],1.0257525426529064,0.4715582342639976,0.030177320644006383,True,Interaction,PICC,Delivery,PC1
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.PICC_Neck],-0.5059193954366331,0.2430815357953016,0.03802279472016196,True,Interaction,PostNatalAbxCohort,PICC,PC1
C(GestationCohort)[T.33-36 Weeks]:C(PICC)[T.PICC_Neck],-0.5059193954366332,0.24308153579530165,0.03802279472016196,True,Interaction,GestationCohort,PICC,PC1
C(GestationCohort)[T.33-36 Weeks]:C(UVC)[T.UVC],-0.5284360588201445,0.26643900241838875,0.04799102189080116,True,Interaction,GestationCohort,UVC,PC1
