Factor1,Factor2,Weighted_Effect,Unweighted_Effect,Combined_P,N_PCs,PCs
MaternalAntibiotics,PICC,0.9362160876681416,4.453940340209309,4.433198252939974e-11,2,"PC1,PC1,PC1,PC1,PC2,PC2,PC2"
AnyMilk,GestationCohort,0.30984058856528807,1.501577097630379,8.026119270421184e-06,3,"PC1,PC1,PC3,PC5"
PostNatalAbxCohort,PICC,0.29764133995807013,1.9094651938552811,1.2110201730308745e-11,4,"PC1,PC2,PC3,PC3,PC5"
Location,GestationCohort,0.28685723783966866,1.563457928788048,0.00010943025049325872,3,"PC1,PC2,PC5"
Delivery,PICC,0.2690548919378573,1.0257525426529064,0.030177320644006356,1,PC1
MaternalAntibiotics,Delivery,0.19037061799665345,0.9810779328914262,2.5561203709223435e-08,2,"PC1,PC2"
Location,PICC,0.15659858320597705,0.5970209043308314,0.004026886947562702,1,"PC1,PC1"
Location,MaternalAntibiotics,0.14120237447782535,0.6475780222467151,0.00016484008895600866,2,"PC1,PC3"
SampleCollectionWeek,PICC,0.1391878948737826,1.1114361347492596,3.241374857410051e-08,4,"PC1,PC3,PC4,PC5,PC5"
UVC,GestationCohort,0.1386087782285239,0.5284360588201445,0.04799102189080118,1,PC1
UVC,PICC,0.13597227766386427,0.9162552403225356,9.198545516775347e-05,1,"PC2,PC2"
PICC,GestationCohort,0.13270265742302897,0.5059193954366339,0.0006628105974653131,3,"PC1,PC2,PC3"
SampleType,GestationCohort,0.11776056198037628,0.9719587092997308,1.2911979263563467e-08,3,"PC2,PC2,PC3,PC5"
AnyMilk,PICC,0.11306590181459988,0.7943656209628418,0.001477308033494995,2,"PC1,PC5,PC5"
AnyMilk,PostNatalAbxCohort,0.11114935756457282,1.1200918608353596,1.7024878173899083e-09,3,"PC2,PC3,PC5"
MaternalAntibiotics,PostNatalAbxCohort,0.07387473426838977,0.6998986531565261,8.361165466042042e-05,3,"PC2,PC3,PC5"
SampleType,PICC,0.06957569873738004,0.6490083590585791,1.2907018038466056e-05,3,"PC2,PC3,PC3,PC3,PC4,PC4"
PostNatalAbxCohort,Delivery,0.06943520675801704,0.6453081995314354,6.920407222199554e-05,3,"PC2,PC4,PC5"
UVC,MaternalAntibiotics,0.05698607488984483,0.3840032000663398,0.009464676279201667,1,PC2
SampleType,SampleCollectionWeek,0.05505080681894044,0.5328100892458071,1.0585532450591018e-11,4,"PC2,PC3,PC3,PC4,PC4,PC5"
AnyMilk,MaternalAntibiotics,0.048492881639078125,0.3267714396164294,0.003634924058691147,1,PC2
UVC,PostNatalAbxCohort,0.042952415111396296,0.2894367595107567,0.02178907460208379,1,PC2
MaternalAntibiotics,GestationCohort,0.041093652419233524,0.38654821382971843,0.0015513500812507353,2,"PC2,PC5"
SampleCollectionWeek,GestationCohort,0.039526682156638765,0.36666681035843013,0.0002445791693554966,1,"PC3,PC3"
PostNatalAbxCohort,SampleCollectionWeek,0.03195376388575951,0.29641710469164667,0.00017461323886835967,1,"PC3,PC3"
UVC,SampleType,0.03109378200372679,0.2884395362126789,0.0004946707494237756,1,"PC3,PC3"
Location,SampleType,0.02902069171087012,0.35753200684735087,2.0748560851213682e-05,2,"PC3,PC4,PC4"
Delivery,GestationCohort,0.02424371847620099,0.43682375632794573,0.011857852849931128,1,PC5
Location,SampleCollectionWeek,0.019000009081376047,0.21939356643006908,0.00020967114100500783,2,"PC3,PC5"
SampleType,PostNatalAbxCohort,0.01631364348618985,0.151332499871891,0.0026719720256329627,1,PC3
AnyMilk,SampleType,0.014847095534874764,0.26751523486260836,0.0004928602097055146,1,"PC5,PC5"
Location,Delivery,0.014833503036882965,0.26727032498888226,0.020621553614215027,1,PC5
UVC,SampleCollectionWeek,0.012224158663466305,0.113396648084103,0.024398816111702804,1,PC3
MaternalAntibiotics,SampleType,0.004387139249966938,0.07904755405345834,0.008134730341164187,1,PC5
MaternalAntibiotics,SampleCollectionWeek,0.0031624483878277244,0.05698105203293197,0.03490048036921345,1,PC5
