Variable,Coefficient,Std_Error,P-value,Significant,Type,Var1,Var2
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(AnyMilk)[T.Mother],-0.39996214423691695,0.0736181233704366,9.47799905801595e-08,True,Interaction,PostNatalAbxCohort,AnyMilk
C(SampleType)[T.Stool]:C(GestationCohort)[T.33-36 Weeks],0.21409521195064396,0.05896139849122863,0.0003175855522286149,True,Interaction,SampleType,GestationCohort
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.PICC_Neck],0.2385142375259358,0.07256175510672938,0.0010987611858852945,True,Interaction,SampleCollectionWeek,PICC
C(SampleCollectionWeek)[T.Week.3]:C(PICC)[T.peripheral_UE],0.22091592467180765,0.0678084416770854,0.0012147483502234029,True,Interaction,SampleCollectionWeek,PICC
C(SampleType)[T.Stool]:C(AnyMilk)[T.Mother],-0.13645473054771168,0.04324784247294825,0.0017210856987602274,True,Interaction,SampleType,AnyMilk
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.2571861196738394,0.08323341122096117,0.002137069140803896,True,Main,,
C(GestationCohort)[T.28-32 Weeks]:C(MaternalAntibiotics)[T.None.Mat.Abx],0.17513565676099774,0.061154808988353807,0.004398691360424173,True,Interaction,GestationCohort,MaternalAntibiotics
C(Location)[T.Hangzhou]:C(SampleCollectionWeek)[T.Week.3],-0.08892193842801917,0.032651167079238166,0.006734866429181538,True,Interaction,Location,SampleCollectionWeek
C(SampleType)[T.Stool]:C(MaternalAntibiotics)[T.None.Mat.Abx],-0.07904755405345834,0.029725232798109968,0.008134730341164171,True,Interaction,SampleType,MaternalAntibiotics
C(Location)[T.Hangzhou]:C(GestationCohort)[T.28-32 Weeks],0.3268308913216319,0.12887596639036672,0.011579014636696184,True,Interaction,Location,GestationCohort
C(GestationCohort)[T.33-36 Weeks]:C(Delivery)[T.Vaginal],-0.43682375632794573,0.17282603040547725,0.011857852849931119,True,Interaction,GestationCohort,Delivery
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(Delivery)[T.Vaginal],-0.15971939771529897,0.06409362698599723,0.013093958006613764,True,Interaction,PostNatalAbxCohort,Delivery
C(Location)[T.Hangzhou]:C(Delivery)[T.Vaginal],-0.26727032498888226,0.11501614735094438,0.02062155361421504,True,Interaction,Location,Delivery
C(AnyMilk)[T.Mother]:C(PICC)[T.PICC_UE],0.1338704025690613,0.05888046676608857,0.023501647327820844,True,Interaction,AnyMilk,PICC
C(SampleType)[T.Stool]:C(AnyMilk)[T.No.Milk],-0.1310605043148967,0.058659426815686734,0.025998996174726948,True,Interaction,SampleType,AnyMilk
C(PostNatalAbxCohort)[T.Low.Infant.Abx]:C(PICC)[T.PICC_UE],0.13825593584300955,0.06497956325447879,0.03395368514528083,True,Interaction,PostNatalAbxCohort,PICC
