Feature,SHAP Importance,Microbe
SampleType,1.751975245889811,Klebsiella.pneumoniae
SampleCollectionWeek,1.5449166663817837,Klebsiella.pneumoniae
PICC,0.6159020380514141,Klebsiella.pneumoniae
PostNatalAbxCohort,0.5318105433908424,Klebsiella.pneumoniae
GestationCohort,0.38456610693879867,Klebsiella.pneumoniae
MaternalAntibiotics,0.32406569774650157,Klebsiella.pneumoniae
BSI_30D,0.2768373178580203,Klebsiella.pneumoniae
Location,0.22565206894563425,Klebsiella.pneumoniae
AnyMilk,0.20387617222405435,Klebsiella.pneumoniae
UVC,0.19878251108833783,Klebsiella.pneumoniae
NEC_30D,0.048328088649624984,Klebsiella.pneumoniae
SampleType,0.6596618809284222,Staphylococcus.aureus
SampleCollectionWeek,0.44032577364576325,Staphylococcus.aureus
PostNatalAbxCohort,0.27912048881109147,Staphylococcus.aureus
PICC,0.2345792491796883,Staphylococcus.aureus
GestationCohort,0.18579609929947616,Staphylococcus.aureus
Location,0.16127485781925724,Staphylococcus.aureus
MaternalAntibiotics,0.09880907522631086,Staphylococcus.aureus
UVC,0.09379682087785411,Staphylococcus.aureus
AnyMilk,0.08946571669031884,Staphylococcus.aureus
BSI_30D,0.05561601010089045,Staphylococcus.aureus
NEC_30D,0.04829695048381163,Staphylococcus.aureus
SampleType,1.4835641058437947,Escherichia.coli
SampleCollectionWeek,0.9868783269768767,Escherichia.coli
Location,0.5801612235866732,Escherichia.coli
GestationCohort,0.4503134412034185,Escherichia.coli
PICC,0.4486520475933879,Escherichia.coli
PostNatalAbxCohort,0.36228824316285385,Escherichia.coli
MaternalAntibiotics,0.3152875446865769,Escherichia.coli
BSI_30D,0.2910489135069299,Escherichia.coli
UVC,0.27570459797207186,Escherichia.coli
AnyMilk,0.1651239173866625,Escherichia.coli
NEC_30D,0.0974869167791895,Escherichia.coli
SampleType,1.4017146764277564,Klebsiella.oxytoca
SampleCollectionWeek,0.892626809239806,Klebsiella.oxytoca
PICC,0.5596854551499503,Klebsiella.oxytoca
Location,0.4765281747367258,Klebsiella.oxytoca
UVC,0.35170057064732974,Klebsiella.oxytoca
PostNatalAbxCohort,0.3246931407224245,Klebsiella.oxytoca
MaternalAntibiotics,0.286785342871542,Klebsiella.oxytoca
AnyMilk,0.21257428312792861,Klebsiella.oxytoca
GestationCohort,0.17089305861964285,Klebsiella.oxytoca
BSI_30D,0.11928908751305392,Klebsiella.oxytoca
NEC_30D,0.026470765130223343,Klebsiella.oxytoca
SampleType,1.024000405218479,Staphylococcus.epidermidis
PostNatalAbxCohort,0.7046684285291951,Staphylococcus.epidermidis
SampleCollectionWeek,0.4924156530344798,Staphylococcus.epidermidis
Location,0.37564990821420685,Staphylococcus.epidermidis
PICC,0.3500627965776165,Staphylococcus.epidermidis
AnyMilk,0.2062232605494703,Staphylococcus.epidermidis
GestationCohort,0.19224872628621592,Staphylococcus.epidermidis
UVC,0.19004365864341569,Staphylococcus.epidermidis
MaternalAntibiotics,0.15509291889114188,Staphylococcus.epidermidis
BSI_30D,0.11622619258631488,Staphylococcus.epidermidis
NEC_30D,0.09110652210606064,Staphylococcus.epidermidis
SampleType,0.4032803905101509,Streptococcus.pyogenes
PostNatalAbxCohort,0.3281986629045057,Streptococcus.pyogenes
PICC,0.2953051652781346,Streptococcus.pyogenes
SampleCollectionWeek,0.25452763102990295,Streptococcus.pyogenes
GestationCohort,0.15031671347601308,Streptococcus.pyogenes
BSI_30D,0.14111810051518475,Streptococcus.pyogenes
UVC,0.13502617616724907,Streptococcus.pyogenes
Location,0.11274560012366723,Streptococcus.pyogenes
AnyMilk,0.1103077446176172,Streptococcus.pyogenes
MaternalAntibiotics,0.09843070553969996,Streptococcus.pyogenes
NEC_30D,0.030188256479531182,Streptococcus.pyogenes
