Variable,Coefficient,Std_Error,T_stat,P-value,CI_Lower,CI_Upper,Significant
C(UVC)[T.UVC],-2.9259179227174883,0.5553171800649738,-5.268913024400122,1.372339651959437e-07,-4.014319595641181,-1.8375162497937956,True
C(SampleType)[T.Groin],1.7996108276563212,0.36147381297354403,4.978537208138044,6.406662827726182e-07,1.0911351728738077,2.5080864824388347,True
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-1.3270628496271455,0.5585470226046133,-2.3759196556787527,0.017505273986210296,-2.421794897604267,-0.23233080165002384,True
Intercept,2.086985098162327,1.0217434153627334,2.042572593845802,0.0410947664018749,0.08440480261042049,4.089565393714233,True
Group Var,0.06796384418995424,0.040260350722933144,1.68810859740575,0.09139038439140906,-0.010944993231945851,0.14687268161185435,False
C(GestationCohort)[T.28-32 Weeks],-1.1056622372798561,0.6625643328342753,-1.6687620846569344,0.09516453960052686,-2.404264467075845,0.19293999251613259,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-0.8615645109122365,0.5272849276469529,-1.6339638509240733,0.10226644120345783,-1.8950239786910723,0.17189495686659928,False
C(SampleCollectionWeek)[T.Week.3],0.39664623884077027,0.2884449361851517,1.3751194390397083,0.16909441871094877,-0.16869544760508132,0.9619879252866219,False
C(PICC)[T.PICC_LE],-0.7993807890222073,0.5825023574006206,-1.3723219809605454,0.16996322578984158,-1.9410644304371023,0.34230285239268765,False
C(Delivery)[T.Vaginal],-0.7181364711156453,0.5253114021031213,-1.3670681204339656,0.17160395459047983,-1.7477278999060015,0.311454957674711,False
C(AnyMilk)[T.No.Milk],-1.1411664218558295,0.846687580531274,-1.3478010639293632,0.17772237564040583,-2.800643585854483,0.5183107421428241,False
C(PICC)[T.PICC_Neck],-1.4985938664477292,1.2024392503962358,-1.246294867664959,0.21265616139454435,-3.8553314908216914,0.858143757926233,False
C(Location)[T.Hangzhou],0.5945888441324555,0.5115185413951979,1.1623993971179976,0.24507326807223284,-0.40796907442659325,1.5971467626915041,False
C(MaternalAntibiotics)[T.None.Mat.Abx],-0.47586013990403203,0.43976924148962226,-1.0820678096816405,0.27922239813937866,-1.3377920147321893,0.38607173492412533,False
C(PICC)[T.peripheral_UE],-1.068665082638534,1.036154047610562,-1.031376642404616,0.3023642298844089,-3.0994896983906357,0.9621595331135677,False
C(PICC)[T.axillary],-0.8900597269113936,1.0606527803200265,-0.8391622059792644,0.4013782925309546,-2.9689009764409193,1.188781522618132,False
C(AnyMilk)[T.Mother],-0.49304059264408834,0.6430004274112292,-0.7667811273922616,0.44321165905919013,-1.753298272413959,0.7672170871257822,False
C(SampleType)[T.Stool],-0.2566066463626437,0.336918295091875,-0.7616287096925652,0.4462816348296672,-0.9169543704753567,0.40374107775006934,False
C(GestationCohort)[T.33-36 Weeks],-0.5619439083349907,0.8283601663949421,-0.6783811331495985,0.49753006839191627,-2.185500000696684,1.061612184026702,False
C(PICC)[T.PICC_UE],0.1768119623500175,0.5094095255040731,0.3470919829680408,0.7285222162224725,-0.821612361019604,1.175236285719639,False
