Variable,Coefficient,P-value,Significant
Intercept,0.6025294876628688,0.0,True
Location_Different,0.03503462743187324,0.0,True
SampleType_Different,0.10473229763389386,0.0,True
SampleCollectionWeek_Different,0.02460618746535798,4.752496819876806e-201,True
GestationCohort_Different,0.014608183581246234,2.4344450504449376e-45,True
PostNatalAbxCohort_Different,0.0046123007404387725,1.963865237133549e-06,True
MaternalAntibiotics_Different,0.009910547835134072,1.6816600296878801e-21,True
AnyMilk_Different,0.0020676996859845947,0.04827919246372697,True
PICC_Different,0.00712688066858165,5.7742792585650894e-11,True
UVC_Different,0.011438087260585065,5.452107427366908e-19,True
Delivery_Different,-0.0035744765851832457,0.0009642481289239891,True
Group Var,0.055926080193677494,1.3637558032363175e-163,True
