Variable,Coefficient,Std_Error,T_stat,P-value,Significant,CI_Lower,CI_Upper,PC
Intercept,-26.40374185798145,12.311629217109544,-2.14461801865248,0.03198340043945312,True,-50.53409171452722,-2.273392001435681,PC1
C(SampleType)[T.Groin],31.55134436996713,2.875830000364986,10.971213307449602,5.256227920950463e-28,True,25.914821143591947,37.187867596342315,PC1
C(SampleType)[T.Stool],64.10675314091574,2.6803885917568024,23.916962390478748,2.0402183331569422e-126,True,58.85328803650037,69.36021824533111,PC1
C(Location)[T.ZCH],4.419530498167095,4.319870951946255,1.023070028556279,0.3062747366071935,False,-4.0472609855083235,12.886321981842514,PC1
C(GestationCohort)[T.28-32 Weeks],-6.821094868392766,5.441439221828871,-1.2535460914511865,0.2100070360433205,False,-17.48611976724101,3.8439300304554784,PC1
C(GestationCohort)[T.33-36 Weeks],-1.311612900330184,6.9564816898488955,-0.18854543989444095,0.8504490983152114,False,-14.946066471546354,12.322840670885986,PC1
C(SampleCollectionWeek)[T.Week.3],11.391195391433977,2.302030931519079,4.948324210360232,7.485515139810567e-07,True,6.87929767435939,15.903093108508564,PC1
C(MaternalAntibiotics)[T.None.Mat.Abx],0.40926014519890525,3.5533435829644975,0.11517606886116712,0.9083055667088048,False,-6.555165302108024,7.373685592505834,PC1
C(PostNatalAbxCohort)[T.Low.Infant.Abx],-2.5063629590844556,4.424790199964348,-0.5664365644058447,0.5710970444780654,False,-11.178792390160362,6.166066471991451,PC1
C(PostNatalAbxCohort)[T.No.Infant.Abx],-7.189695153205938,4.204342980933878,-1.7100638995938784,0.08725405749146775,False,-15.43005597449011,1.050665668078234,PC1
C(BSI_30D)[T.BSI ],-5.4840744813624935,16.312064882841653,-0.33619744163297716,0.7367219820256014,False,-37.45513416521271,26.486985202487723,PC1
C(BSI_30D)[T.BSI and No.BSI],15.779689823264436,15.108764483344746,1.0444063669573571,0.2962974191215001,False,-13.832944414989184,45.39232406151805,PC1
