Variable,Coefficient,P-value,Model_Type,Microbe
Intercept (Baseline),4.433984065832765,0.022035507521931817,MixedLM,Klebsiella.pneumoniae
Groin Sample,2.536179339449135,3.4678050471725706e-11,MixedLM,Klebsiella.pneumoniae
Stool Sample,4.15582183140493,1.4110550366345632e-31,MixedLM,Klebsiella.pneumoniae
ZCH Location,0.8923937733452552,0.1776242826476485,MixedLM,Klebsiella.pneumoniae
28-32 Weeks Gestation,-0.9792870617810501,0.25894108075722844,MixedLM,Klebsiella.pneumoniae
33-36 Weeks Gestation,-0.07352505999158697,0.9479330768294112,MixedLM,Klebsiella.pneumoniae
Week 3 Sample,3.1417827821162634,2.047316637306928e-24,MixedLM,Klebsiella.pneumoniae
No Maternal Antibiotics,-0.6229217414058005,0.28475473789309336,MixedLM,Klebsiella.pneumoniae
No Infant Antibiotics,-1.48358990630828,0.02389159004195895,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.BSI ],-1.3244208677886384,0.5959374829060706,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.BSI and No.BSI],2.7732164336370735,0.2285689051195302,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.No.BSI],0.9270686528832675,0.23206401431611923,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.No.BSI ],-2.530313214346707,0.36849717148112193,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.Other],0.788230720434442,0.7999011550411415,MixedLM,Klebsiella.pneumoniae
C(BSI_30D)[T.PICC],-1.1331680405939766,0.5384254636208392,MixedLM,Klebsiella.pneumoniae
C(NEC_30D)[T.No.NEC],-0.16608697611894438,0.8963181896746546,MixedLM,Klebsiella.pneumoniae
C(AnyMilk)[T.Mother],-0.4777684146855645,0.5702177679269257,MixedLM,Klebsiella.pneumoniae
C(AnyMilk)[T.No.Milk],-1.8232586190506448,0.0937969845768654,MixedLM,Klebsiella.pneumoniae
PICC Lower Extremity,0.6910900291951699,0.37704646493241867,MixedLM,Klebsiella.pneumoniae
PICC Neck,-1.396799827631346,0.43606392546489425,MixedLM,Klebsiella.pneumoniae
PICC Upper Extremity,1.4804957447613962,0.02886618192854951,MixedLM,Klebsiella.pneumoniae
C(PICC)[T.axillary],-0.4567739359948052,0.7583210993623107,MixedLM,Klebsiella.pneumoniae
C(PICC)[T.peripheral_UE],1.774622718931093,0.1655087301679955,MixedLM,Klebsiella.pneumoniae
UVC Present,-1.4017625034753787,0.05354850382777821,MixedLM,Klebsiella.pneumoniae
Vaginal Delivery,-0.9272219864005542,0.16193048478772076,MixedLM,Klebsiella.pneumoniae
Group Var,0.288404680255487,0.002220010775662472,MixedLM,Klebsiella.pneumoniae
Intercept (Baseline),10.41709346703484,1.2207879178849584e-30,MixedLM,Staphylococcus.aureus
Groin Sample,-1.157261860606587,7.561488746074596e-10,MixedLM,Staphylococcus.aureus
