Feature,Feature_Original,SHAP Importance,PC
Stool Sample,SampleType_Stool,24.95732153982107,PC1
Groin Sample,SampleType_Groin,9.806105788379417,PC1
Week 3 Sample,SampleCollectionWeek_Week.3,5.470528762424048,PC1
ZCH Location,Location_ZCH,2.1061919539952862,PC1
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,1.7893296155047311,PC1
Vaginal Delivery,Delivery_Vaginal,1.7176629824574268,PC1
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,1.7003889539567605,PC1
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,1.5170313729383003,PC1
UVC Present,UVC_UVC,1.2999912381974317,PC1
PICC Upper Extremity,PICC_PICC_UE,1.1892665136508385,PC1
BSI_30D: No.BSI,BSI_30D_No.BSI,1.1742284664134883,PC1
PICC Lower Extremity,PICC_PICC_LE,1.0081451654124602,PC1
Mother's Milk,AnyMilk_Mother,0.8323354248612852,PC1
No Milk,AnyMilk_No.Milk,0.7501839642341851,PC1
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.5719288305162996,PC1
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.38711180913729176,PC1
NEC_30D: No.NEC,NEC_30D_No.NEC,0.3848693070900532,PC1
PICC Peripheral UE,PICC_peripheral_UE,0.3425632826505861,PC1
PICC Neck,PICC_PICC_Neck,0.20018656450423236,PC1
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.19047641573653418,PC1
PICC Axillary,PICC_axillary,0.104523280562477,PC1
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.07248991160856812,PC1
BSI_30D: PICC,BSI_30D_PICC,0.042884896723323254,PC1
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.010935595859443134,PC1
BSI_30D: BSI ,BSI_30D_BSI ,0.0036281543452098717,PC1
Week 3 Sample,SampleCollectionWeek_Week.3,10.84535682140216,PC2
ZCH Location,Location_ZCH,7.890312349458533,PC2
Stool Sample,SampleType_Stool,5.763234133210545,PC2
Groin Sample,SampleType_Groin,2.356957222171678,PC2
PICC Upper Extremity,PICC_PICC_UE,1.8402041582861794,PC2
BSI_30D: No.BSI,BSI_30D_No.BSI,1.3890604595299376,PC2
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,1.2737124900510597,PC2
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,1.1426537545387745,PC2
PICC Lower Extremity,PICC_PICC_LE,1.1266259301998833,PC2
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,1.0266935868687599,PC2
Vaginal Delivery,Delivery_Vaginal,1.0214812832059406,PC2
Mother's Milk,AnyMilk_Mother,0.8655849339062122,PC2
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.766022079646193,PC2
UVC Present,UVC_UVC,0.6161841153843532,PC2
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.579806691952751,PC2
PICC Neck,PICC_PICC_Neck,0.4007790224236369,PC2
No Milk,AnyMilk_No.Milk,0.3721774992119698,PC2
PICC Peripheral UE,PICC_peripheral_UE,0.3474437694351424,PC2
PICC Axillary,PICC_axillary,0.24789079885212875,PC2
NEC_30D: No.NEC,NEC_30D_No.NEC,0.22657439203553517,PC2
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.061779063371447084,PC2
BSI_30D: PICC,BSI_30D_PICC,0.05308797915684901,PC2
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.03900291546872591,PC2
BSI_30D: BSI ,BSI_30D_BSI ,0.012833797353839218,PC2
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.007649951859060527,PC2
ZCH Location,Location_ZCH,5.294720813080927,PC3
Stool Sample,SampleType_Stool,4.812359952805666,PC3
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,4.070576478063766,PC3
Week 3 Sample,SampleCollectionWeek_Week.3,1.5225816471968405,PC3
Groin Sample,SampleType_Groin,1.3884955128164789,PC3
Mother's Milk,AnyMilk_Mother,1.2337563824612172,PC3
PICC Upper Extremity,PICC_PICC_UE,1.211903107388637,PC3
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,0.8918837551238122,PC3
UVC Present,UVC_UVC,0.845313894259134,PC3
BSI_30D: No.BSI,BSI_30D_No.BSI,0.7270703935957767,PC3
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,0.6560070281924396,PC3
PICC Lower Extremity,PICC_PICC_LE,0.6370387611073309,PC3
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.5020310366485514,PC3
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.49583051118768445,PC3
Vaginal Delivery,Delivery_Vaginal,0.4378045829371039,PC3
No Milk,AnyMilk_No.Milk,0.4199782178071743,PC3
PICC Axillary,PICC_axillary,0.29690831411956575,PC3
BSI_30D: PICC,BSI_30D_PICC,0.2108985238100734,PC3
NEC_30D: No.NEC,NEC_30D_No.NEC,0.19934321576357442,PC3
PICC Peripheral UE,PICC_peripheral_UE,0.09563175632279075,PC3
