Feature,Feature_Original,SHAP Importance,PC
Week 3 Sample,SampleCollectionWeek_Week.3,10.84535682140216,PC2
ZCH Location,Location_ZCH,7.890312349458533,PC2
Stool Sample,SampleType_Stool,5.763234133210545,PC2
Groin Sample,SampleType_Groin,2.356957222171678,PC2
PICC Upper Extremity,PICC_PICC_UE,1.8402041582861794,PC2
BSI_30D: No.BSI,BSI_30D_No.BSI,1.3890604595299376,PC2
No Maternal Antibiotics,MaternalAntibiotics_None.Mat.Abx,1.2737124900510597,PC2
No Infant Antibiotics,PostNatalAbxCohort_No.Infant.Abx,1.1426537545387745,PC2
PICC Lower Extremity,PICC_PICC_LE,1.1266259301998833,PC2
28-32 Weeks Gestation,GestationCohort_28-32 Weeks,1.0266935868687599,PC2
Vaginal Delivery,Delivery_Vaginal,1.0214812832059406,PC2
Mother's Milk,AnyMilk_Mother,0.8655849339062122,PC2
33-36 Weeks Gestation,GestationCohort_33-36 Weeks,0.766022079646193,PC2
UVC Present,UVC_UVC,0.6161841153843532,PC2
Low Infant Antibiotics,PostNatalAbxCohort_Low.Infant.Abx,0.579806691952751,PC2
PICC Neck,PICC_PICC_Neck,0.4007790224236369,PC2
No Milk,AnyMilk_No.Milk,0.3721774992119698,PC2
PICC Peripheral UE,PICC_peripheral_UE,0.3474437694351424,PC2
PICC Axillary,PICC_axillary,0.24789079885212875,PC2
NEC_30D: No.NEC,NEC_30D_No.NEC,0.22657439203553517,PC2
BSI_30D: BSI and No.BSI,BSI_30D_BSI and No.BSI,0.061779063371447084,PC2
BSI_30D: PICC,BSI_30D_PICC,0.05308797915684901,PC2
BSI_30D: No.BSI ,BSI_30D_No.BSI ,0.03900291546872591,PC2
BSI_30D: BSI ,BSI_30D_BSI ,0.012833797353839218,PC2
BSI_30D: No.BSI  ,BSI_30D_No.BSI  ,0.007649951859060527,PC2
