"Antibiotic","UCMC_N","UCMC_Prevalence_Percent","UCMC_Mean_Days","ZCH_N","ZCH_Prevalence_Percent","ZCH_Mean_Days","P_value","Significant"
"Penicillin_w1",0,0,0,34,57.6271186440678,4.94117647058824,7.40870588950568e-13,"Yes"
"Moxalactam_w1",0,0,0,29,49.1525423728814,5.44827586206897,9.02144910533318e-11,"Yes"
"Cefotaxime_w1",0,0,0,24,40.6779661016949,3.08333333333333,7.51580323680111e-09,"Yes"
"Fluconazole_w2",0,0,0,13,22.0338983050847,7.30769230769231,4.96469071097491e-05,"Yes"
"Penicillin_w2",0,0,0,12,20.3389830508475,2.5,0.000103462414845722,"Yes"
"Fluconazole_w1",0,0,0,11,18.6440677966102,2.18181818181818,0.000214403115199519,"Yes"
"Moxalactam_w2",0,0,0,10,16.9491525423729,1.5,0.00043990991685064,"Yes"
"Piperacillin_Tazobactam_w2",0,0,0,10,16.9491525423729,4.8,0.000441241326842716,"Yes"
"Meropenem_w2",0,0,0,7,11.864406779661,4.28571428571429,0.00369669608321279,"Yes"
"Gentamicin_w1",9,13.2352941176471,1.33333333333333,0,0,0,0.00395921339663171,"Yes"
"Meropenem_w1",0,0,0,6,10.1694915254237,5,0.00745082457743585,"Yes"
"Cefotaxime_w2",0,0,0,5,8.47457627118644,3.2,0.0150227815119183,"Yes"
"Vancomycin_w2",1,1.47058823529412,4,6,10.1694915254237,6.83333333333333,0.0314591462389866,"Yes"
"Ampicillin_w1",10,14.7058823529412,2,2,3.38983050847458,5,0.0386369092492099,"Yes"
"Nafcillin_w2",4,5.88235294117647,3.5,0,0,0,0.0604764883047767,"No"
"Piperacillin_Tazobactam_w1",0,0,0,3,5.08474576271187,2.33333333333333,0.0621675810126448,"No"
"Azithromycin_w2",0,0,0,3,5.08474576271187,10.3333333333333,0.0621675810126448,"No"
"Azithromycin_w1",0,0,0,3,5.08474576271187,2.66666666666667,0.0621731129264194,"No"
"Tobramycin_w2",3,4.41176470588235,3,0,0,0,0.10587152002236,"No"
"Nafcillin_w1",3,4.41176470588235,3.33333333333333,0,0,0,0.105878906891612,"No"
"Ceftazidime_w1",0,0,0,1,1.69491525423729,1,0.290156875589838,"No"
"Tobramycin_w1",1,1.47058823529412,3,0,0,0,0.359830551275881,"No"
"Vancomycin_w1",1,1.47058823529412,2,0,0,0,0.359830551275881,"No"
